Name,TeamsPlayedFor,SuccessfulTransfers
Mazraoui,5,7
Trippier,5,7
Kilman,5,6
Garnacho,5,6
Calvert-Lewin,5,5
Mykolenko,5,5
Schär,4,7
Colwill,4,6
Chalobah,4,5
Rúben,4,5
Souček,4,5
Zabarnyi,4,5
Young,4,5
Joelinton,4,5
Hudson-Odoi,4,5
Estupiñan,4,4
Veltman,4,4
Wan-Bissaka,4,4
Wilson,4,4
Enzo,4,4
Tielemans,3,7
Doku,3,7
Emerson,3,6
Cash,3,6
Martinez,3,5
Branthwaite,3,5
Hermansen,3,5
Tsimikas,3,5
Konsa,3,4
C.Richards,3,4
Quansah,3,4
Van Hecke,3,4
Darwin,3,4
Archer,3,4
Tosin,3,4
Szoboszlai,3,4
Richarlison,3,4
Aït-Nouri,3,4
José Sá,3,4
Georginio,3,4
Gündogan,3,4
M.Asensio,3,4
Andersen,3,4
Bassey,3,4
Mac Allister,3,4
Sancho,3,4
Armstrong,3,4
Calafiori,3,3
Sels,3,3
James,3,3
Rashford,3,3
Nketiah,3,3
Henderson,3,3
Minteh,3,3
Kelleher,3,3
Ederson M.,3,3
Maatsen,3,3
Pau,3,3
Dunk,3,3
Castagne,3,3
Stones,3,3
Spence,3,3
Merino,3,3
Digne,2,4
Savinho,2,4
Lewis,2,4
Arrizabalaga,2,4
Ramsdale,2,4
Rice,2,4
Iwobi,2,4
Livramento,2,3
Trossard,2,3
Pinnock,2,3
Kiwior,2,3
Damsgaard,2,3
Aké,2,3
Neto,2,3
Füllkrug,2,3
Agbadou,2,3
G.Jesus,2,3
Zinchenko,2,3
Ferguson,2,3
Beto,2,3
Davis,2,3
Faes,2,3
Akanji,2,3
Matheus N.,2,3
Dalot,2,3
Barnes,2,3
Jørgensen,2,3
Bradley,2,2
Mitoma,2,2
Madueke,2,2
Kluivert,2,2
João Pedro,2,2
Muniz,2,2
Elanga,2,2
Neto,2,2
Welbeck,2,2
Adama,2,2
Wilson,2,2
Kovačić,2,2
Awoniyi,2,2
Murillo,2,2
Vicario,2,2
N.Semedo,2,2
Gabriel,2,2
Martinelli,2,2
Smith Rowe,2,2
White,2,2
Tavernier,2,2
Steele,2,2
Caicedo,2,2
Gusto,2,2
Sánchez,2,2
Sterling,2,2
Edouard,2,2
McNeil,2,2
Hutchinson,2,2
Gomez,2,2
Gravenberch,2,2
Konaté,2,2
Bernardo,2,2
Ortega Moreno,2,2
Amad,2,2
Maguire,2,2
Shaw,2,2
Bruno G.,2,2
Dúbravka,2,2
Hall,2,2
J.Murphy,2,2
Tonali,2,2
Johnson,2,2
Udogie,2,2
Antonio,2,2
Areola,2,2
Fabianski,2,2
L.Paquetá,2,2
Toti,2,2
Sessegnon,2,2
De Ligt,2,2
De Bruyne,1,2
Onana,1,2
Botman,1,2
Hee Chan,1,2
Buonanotte,1,2
Webster,1,2
Nkunku,1,2
Johnstone,1,2
Andreas,1,2
Hirst,1,2
Davies,1,2
Romero,1,2
Khusanov,1,2
Munetsi,1,2
Marmoush,1,1
Evanilson,1,1
Broja,1,1
Keane,1,1
Ndiaye,1,1
Muric,1,1
Mings,1,1
Nedeljkovic,1,1
Kerkez,1,1
Janelt,1,1
Raúl,1,1
Justin,1,1
Vardy,1,1
Grealish,1,1
Dragusin,1,1
J.Gomes,1,1
Huijsen,1,1
Todibo,1,1
Dorgu,1,1
Havertz,1,1
J.Timber,1,1
Nwaneri,1,1
Ødegaard,1,1
Raya,1,1
Saka,1,1
Saliba,1,1
Tierney,1,1
Alex Moreno,1,1
Bailey,1,1
Diego Carlos,1,1
Duran,1,1
Martinez,1,1
McGinn,1,1
Rogers,1,1
Watkins,1,1
Enes Ünal,1,1
O.Dango,1,1
Semenyo,1,1
Senesi,1,1
Smith,1,1
Solanke,1,1
Ajer,1,1
Collins,1,1
Flekken,1,1
Mbeumo,1,1
Nørgaard,1,1
Schade,1,1
Toney,1,1
Wissa,1,1
Adingra,1,1
Enciso,1,1
Igor,1,1
Lamptey,1,1
March,1,1
Verbruggen,1,1
B.Badiashile,1,1
Cucurella,1,1
N.Jackson,1,1
Palmer,1,1
Petrović,1,1
W.Fofana,1,1
Eze,1,1
Guéhi,1,1
Mateta,1,1
Mitchell,1,1
Muñoz,1,1
Harrison,1,1
Pickford,1,1
Tarkowski,1,1
Diop,1,1
Leno,1,1
Robinson,1,1
Tete,1,1
Delap,1,1
Tuanzebe,1,1
Walton,1,1
Daka,1,1
Kristiansen,1,1
Ndidi,1,1
A.Becker,1,1
Alexander-Arnold,1,1
Diogo J.,1,1
Gakpo,1,1
Jones,1,1
Luis Díaz,1,1
M.Salah,1,1
Robertson,1,1
Van den Berg,1,1
Virgil,1,1
Foden,1,1
Gvardiol,1,1
Haaland,1,1
J.Alvarez,1,1
João Cancelo,1,1
Rodrigo,1,1
Walker,1,1
B.Fernandes,1,1
Højlund,1,1
Mainoo,1,1
Onana,1,1
Zirkzee,1,1
Burn,1,1
Gordon,1,1
Isak,1,1
Pope,1,1
Ruddy,1,1
Aina,1,1
Gibbs-White,1,1
N.Williams,1,1
Ui-jo,1,1
Wood,1,1
Harwood-Bellis,1,1
Onuachu,1,1
Forster,1,1
Kulusevski,1,1
Maddison,1,1
Pedro Porro,1,1
P.M.Sarr,1,1
Son,1,1
Van de Ven,1,1
Bowen,1,1
Ings,1,1
Kudus,1,1
Mavropanos,1,1
Ward-Prowse,1,1
Bellegarde,1,1
Cunha,1,1
Strand Larsen,1,1
A.Fatawu,1,1
Milenković,1,1
O'Brien,1,1
I.Sarr,1,1
Lewis-Skelly,1,1
João Félix,1,1
Chiesa,1,1
Lacroix,1,1
C.Soler,1,1
Amass,1,1
Kinsky,1,1
Kayode,1,1
Tel,1,1
Obi,1,1
Roerslev,0,0
Baleba,0,0
Disasi,0,0
Kamada,0,0
Patterson,0,0
Greaves,0,0
Mavididi,0,0
Okoli,0,0
Krafth,0,0
Walker-Peters,0,0
Cresswell,0,0
Doherty,0,0
Mario Jr.,0,0
Yoro,0,0
Brereton Díaz,0,0
O’Reilly,0,0
Szmodics,0,0
Odobert,0,0
Morato,0,0
A. Garcia,0,0
