season,manager,rank,player_code,player,position,club,points
2024-25,Alexander Chaban,1,437730,Antoine Semenyo,MID,BOU,165
2024-25,Alexander Chaban,2,243298,Cody Gakpo,FWD,LIV,120
2024-25,Alexander Chaban,3,154566,Dominic Solanke-Mitchell,FWD,TOT,100
2024-25,Alexander Chaban,4,449434,Anthony Elanga,MID,NFO,97
2024-25,Alexander Chaban,5,61366,Kevin De Bruyne,MID,MCI,97
2024-25,Alexander Chaban,6,544877,Milos Kerkez,DEF,BOU,87
2024-25,Alexander Chaban,7,159506,Ola Aina,DEF,NFO,79
2024-25,Alexander Chaban,8,165809,Bernardo Veiga de Carvalho e Silva,MID,MCI,72
2024-25,Alexander Chaban,9,437499,Maxence Lacroix,DEF,CRY,66
2024-25,Alexander Chaban,10,448514,Rayan Aït-Nouri,DEF,WOL,64
2024-25,Alexander Chaban,11,50175,Danny Welbeck,FWD,BHA,59
2024-25,Alexander Chaban,12,118342,Mark Flekken,GKP,BRE,53
2024-25,Alexander Chaban,13,176297,Marcus Rashford,MID,AVL,47
2024-25,Alexander Chaban,14,215059,Robert Sánchez,GKP,CHE,46
2024-25,Alexander Chaban,15,204716,Ibrahima Konaté,DEF,LIV,45
2024-25,Alexander Chaban,16,460028,Levi Colwill,DEF,CHE,37
2024-25,Alexander Chaban,17,221632,Cristian Romero,DEF,TOT,34
2024-25,Alexander Chaban,18,491279,Micky van de Ven,DEF,TOT,30
2024-25,Alexander Chaban,19,510281,Sávio 'Savinho' Moreira de Oliveira,MID,MCI,28
2024-25,Alexander Chaban,20,216051,Diogo Dalot Teixeira,DEF,MUN,26
2024-25,Alexander Chaban,21,463067,Georginio Rutter,MID,BHA,21
2024-25,Alexander Chaban,22,493105,Alejandro Garnacho,MID,MUN,18
2024-25,Alexander Chaban,23,98747,Nick Pope,GKP,NEW,18
2024-25,Alexander Chaban,24,487053,Destiny Udogie,DEF,TOT,15
2024-25,Alexander Chaban,25,592031,Yankuba Minteh,MID,BHA,12
2024-25,Alexander Chaban,26,248875,Jérémy Doku,MID,MCI,11
2024-25,Alexander Chaban,27,243016,Alexis Mac Allister,MID,LIV,9
2024-25,Alexander Chaban,28,184254,Guglielmo Vicario,GKP,TOT,8
2024-25,Alexander Chaban,29,206325,Oleksandr Zinchenko,DEF,ARS,7
2024-25,Alexander Chaban,30,247632,Pedro Lomba Neto,MID,CHE,7
2024-25,Alexander Chaban,31,85971,Son Heung-min,MID,TOT,4
2024-25,Alexander Chaban,32,159533,Adama Traoré,MID,FUL,3
2024-25,Alexander Chaban,33,209046,Callum Hudson-Odoi,MID,NFO,2
2024-25,Alexander Chaban,34,147611,Paul Onuachu,FWD,SOU,2
2024-25,Alexander Chaban,35,441191,Tino Livramento,DEF,NEW,2
2024-25,Alexander Chaban,36,596047,Chido Obi-Martin,FWD,MUN,1
2024-25,Alexander Chaban,37,177815,Dominic Calvert-Lewin,FWD,EVE,1
2024-25,Alexander Chaban,38,441428,Jarell Quansah,DEF,LIV,1
2024-25,Drake Byrd,1,141746,Bruno Borges Fernandes,MID,MUN,162
2024-25,Drake Byrd,2,247348,Daniel Muñoz,DEF,CRY,128
2024-25,Drake Byrd,3,247412,Jørgen Strand Larsen,FWD,WOL,125
2024-25,Drake Byrd,4,244731,Luis Díaz,MID,LIV,124
2024-25,Drake Byrd,5,244723,Tyrick Mitchell,DEF,CRY,120
2024-25,Drake Byrd,6,493250,Amad Diallo,MID,MUN,107
2024-25,Drake Byrd,7,513418,Kevin Schade,MID,BRE,107
2024-25,Drake Byrd,8,169528,Antonee Robinson,DEF,FUL,106
2024-25,Drake Byrd,9,445122,Jurriën Timber,DEF,ARS,101
2024-25,Drake Byrd,10,98980,Emiliano Martínez Romero,GKP,AVL,97
2024-25,Drake Byrd,11,458249,Joshua Zirkzee,FWD,MUN,45
2024-25,Drake Byrd,12,204480,Declan Rice,MID,ARS,39
2024-25,Drake Byrd,13,199798,Ezri Konsa Ngoyo,DEF,AVL,36
2024-25,Drake Byrd,14,499175,Ethan Nwaneri,MID,ARS,30
2024-25,Drake Byrd,15,215059,Robert Sánchez,GKP,CHE,25
2024-25,Drake Byrd,16,156689,Andreas Hoelgebaum Pereira,MID,FUL,23
2024-25,Drake Byrd,17,176297,Marcus Rashford,MID,AVL,23
2024-25,Drake Byrd,18,244042,Rodrigo Muniz Carvalho,FWD,FUL,21
2024-25,Drake Byrd,19,214590,Aaron Wan-Bissaka,DEF,WHU,6
2024-25,Drake Byrd,20,449871,Amadou Onana,MID,AVL,6
2024-25,Drake Byrd,21,516895,Kobbie Mainoo,MID,MUN,6
2024-25,Drake Byrd,22,209365,Matthijs de Ligt,DEF,MUN,6
2024-25,Drake Byrd,23,441266,Ryan Gravenberch,MID,LIV,5
2024-25,Drake Byrd,24,451340,Mitoma Kaoru,MID,BHA,4
2024-25,Drake Byrd,25,91889,Niclas Füllkrug,FWD,WHU,4
2024-25,Drake Byrd,26,215439,Tomáš Souček,MID,WHU,4
2024-25,Drake Byrd,27,84939,Danny Ings,FWD,WHU,2
2024-25,Drake Byrd,28,447203,Darwin Núñez Ribeiro,FWD,LIV,2
2024-25,Drake Byrd,29,205651,Gabriel Fernando de Jesus,FWD,ARS,2
2024-25,Drake Byrd,30,493105,Alejandro Garnacho,MID,MUN,1
2024-25,Drake Byrd,31,153682,Harry Wilson,MID,FUL,1
2024-25,Drake Byrd,32,243016,Alexis Mac Allister,MID,LIV,0
2024-25,Drake Byrd,33,149065,José Malheiro de Sá,GKP,WOL,-1
2024-25,Dylan Reid,1,232826,Anthony Gordon,MID,NEW,121
2024-25,Dylan Reid,2,517052,Nicolas Jackson,FWD,CHE,121
2024-25,Dylan Reid,3,101668,Jamie Vardy,FWD,LEI,116
2024-25,Dylan Reid,4,78916,Dan Burn,DEF,NEW,100
2024-25,Dylan Reid,5,441164,Pedro Porro,DEF,TOT,82
2024-25,Dylan Reid,6,424876,Dominik Szoboszlai,MID,LIV,79
2024-25,Dylan Reid,7,85971,Son Heung-min,MID,TOT,63
2024-25,Dylan Reid,8,17761,James Tarkowski,DEF,EVE,60
2024-25,Dylan Reid,9,98747,Nick Pope,GKP,NEW,54
2024-25,Dylan Reid,10,213198,Christopher Nkunku,MID,CHE,53
2024-25,Dylan Reid,11,448047,Enzo Fernández,MID,CHE,47
2024-25,Dylan Reid,12,209289,Emile Smith Rowe,MID,FUL,46
2024-25,Dylan Reid,13,101188,Lucas Digne,DEF,AVL,41
2024-25,Dylan Reid,14,247632,Pedro Lomba Neto,MID,CHE,40
2024-25,Dylan Reid,15,67089,Martin Dúbravka,GKP,NEW,38
2024-25,Dylan Reid,16,121160,Ederson Santana de Moraes,GKP,MCI,33
2024-25,Dylan Reid,17,91889,Niclas Füllkrug,FWD,WHU,30
2024-25,Dylan Reid,18,225796,Reece James,DEF,CHE,25
2024-25,Dylan Reid,19,195384,Mikel Merino,MID,ARS,22
2024-25,Dylan Reid,20,198869,Benjamin White,DEF,ARS,21
2024-25,Dylan Reid,21,244042,Rodrigo Muniz Carvalho,FWD,FUL,18
2024-25,Dylan Reid,22,200720,Caoimhin Kelleher,GKP,LIV,16
2024-25,Dylan Reid,23,209243,Jadon Sancho,MID,CHE,12
2024-25,Dylan Reid,24,433154,Dwight McNeil,MID,EVE,11
2024-25,Dylan Reid,25,122806,John McGinn,MID,AVL,9
2024-25,Dylan Reid,26,516939,Emmanuel Agbadou,DEF,WOL,8
2024-25,Dylan Reid,27,58621,Kyle Walker,DEF,MCI,7
2024-25,Dylan Reid,28,174292,Marco Asensio,MID,AVL,7
2024-25,Dylan Reid,29,214048,Max Kilman,DEF,WHU,6
2024-25,Dylan Reid,30,477064,Rico Lewis,DEF,MCI,6
2024-25,Dylan Reid,31,103955,Raheem Sterling,MID,ARS,3
2024-25,Dylan Reid,32,184349,Ryan Sessegnon,DEF,FUL,3
2024-25,Dylan Reid,33,155511,Adam Armstrong,FWD,SOU,2
2024-25,Dylan Reid,34,224860,Carlos Soler,MID,WHU,1
2024-25,Dylan Reid,35,248875,Jérémy Doku,MID,MCI,1
2024-25,Dylan Reid,36,465351,Matheus Luiz Nunes,MID,MCI,1
2024-25,Ethan Ellsworth,1,219168,Alexander Isak,FWD,NEW,200
