season,manager,formation,xi_points,position,slot,player_code,player,points,seasons
2026-27,Ryan Donlan,5-3-2,292,GKP,1,200720,Caoimhín Kelleher,20,2026-27
2026-27,Ryan Donlan,5-3-2,292,DEF,1,17761,James Tarkowski,43,2026-27
2026-27,Ryan Donlan,5-3-2,292,DEF,2,477424,Joško Gvardiol,37,2026-27
2026-27,Ryan Donlan,5-3-2,292,DEF,3,575476,Murillo Costa dos Santos,18,2026-27
2026-27,Ryan Donlan,5-3-2,292,DEF,4,500040,Cristhian Mosquera,12,2026-27
2026-27,Ryan Donlan,5-3-2,292,DEF,5,171314,Rúben dos Santos Gato Alves Dias,11,2026-27
2026-27,Ryan Donlan,5-3-2,292,MID,1,60307,Pascal Groß,47,2026-27
2026-27,Ryan Donlan,5-3-2,292,MID,2,222531,Morgan Gibbs-White,28,2026-27
2026-27,Ryan Donlan,5-3-2,292,MID,3,222683,Justin Kluivert,15,2026-27
2026-27,Ryan Donlan,5-3-2,292,FWD,1,223094,Erling Haaland,39,2026-27
2026-27,Ryan Donlan,5-3-2,292,FWD,2,177815,Dominic Calvert-Lewin,22,2026-27
2026-27,Drake Byrd,3-5-2,216,GKP,1,498016,Robin Roefs,9,2026-27
2026-27,Drake Byrd,3-5-2,216,DEF,1,466075,Riccardo Calafiori,29,2026-27
2026-27,Drake Byrd,3-5-2,216,DEF,2,487838,Lewis Hall,28,2026-27
2026-27,Drake Byrd,3-5-2,216,DEF,3,223827,Daniel Ballard,8,2026-27
2026-27,Drake Byrd,3-5-2,216,MID,1,243298,Cody Gakpo,32,2026-27
2026-27,Drake Byrd,3-5-2,216,MID,2,141746,Bruno Borges Fernandes,31,2026-27
2026-27,Drake Byrd,3-5-2,216,MID,3,184029,Martin Ødegaard,29,2026-27
2026-27,Drake Byrd,3-5-2,216,MID,4,166989,Youri Tielemans,10,2026-27
2026-27,Drake Byrd,3-5-2,216,MID,5,449434,Anthony Elanga,9,2026-27
2026-27,Drake Byrd,3-5-2,216,FWD,1,444102,Francisco Evanilson de Lima Barbosa,18,2026-27
2026-27,Drake Byrd,3-5-2,216,FWD,2,169432,Oli McBurnie,13,2026-27
2026-27,Justin Miller,4-4-2,210,GKP,1,85633,Matz Sels,14,2026-27
2026-27,Justin Miller,4-4-2,210,DEF,1,606702,Jeremy Jacquet,24,2026-27
2026-27,Justin Miller,4-4-2,210,DEF,2,108416,John Egan,18,2026-27
2026-27,Justin Miller,4-4-2,210,DEF,3,522047,Tarik Muharemović,17,2026-27
2026-27,Justin Miller,4-4-2,210,DEF,4,570794,Anan Khalaili,7,2026-27
2026-27,Justin Miller,4-4-2,210,MID,1,201658,Marcus Tavernier,31,2026-27
2026-27,Justin Miller,4-4-2,210,MID,2,466525,Anton Stach,27,2026-27
2026-27,Justin Miller,4-4-2,210,MID,3,249231,Keane Lewis-Potter,12,2026-27
2026-27,Justin Miller,4-4-2,210,MID,4,482616,Bradley Barcola,7,2026-27
2026-27,Justin Miller,4-4-2,210,FWD,1,219168,Alexander Isak,33,2026-27
2026-27,Justin Miller,4-4-2,210,FWD,2,647850,Charalampos Kostoulas,20,2026-27
2026-27,Ryan Houseman,5-4-1,185,GKP,1,111234,Jordan Pickford,25,2026-27
2026-27,Ryan Houseman,5-4-1,185,DEF,1,226597,Gabriel dos Santos Magalhães,25,2026-27
2026-27,Ryan Houseman,5-4-1,185,DEF,2,215136,Neco Williams,19,2026-27
2026-27,Ryan Houseman,5-4-1,185,DEF,3,83299,Lewis Dunk,17,2026-27
2026-27,Ryan Houseman,5-4-1,185,DEF,4,224967,Vitalii Mykolenko,17,2026-27
2026-27,Ryan Houseman,5-4-1,185,DEF,5,606930,Nobel Mendy,9,2026-27
2026-27,Ryan Houseman,5-4-1,185,MID,1,514254,Diego Gómez Amarilla,24,2026-27
2026-27,Ryan Houseman,5-4-1,185,MID,2,424876,Dominik Szoboszlai,20,2026-27
2026-27,Ryan Houseman,5-4-1,185,MID,3,247632,Pedro Lomba Neto,14,2026-27
2026-27,Ryan Houseman,5-4-1,185,MID,4,448047,Enzo Fernández,13,2026-27
2026-27,Ryan Houseman,5-4-1,185,FWD,1,231747,Jean-Philippe Mateta,2,2026-27
2026-27,Luke Lockwood,5-4-1,198,GKP,1,489639,Bart Verbruggen,9,2026-27
2026-27,Luke Lockwood,5-4-1,198,DEF,1,198869,Benjamin White,21,2026-27
2026-27,Luke Lockwood,5-4-1,198,DEF,2,191866,Kristoffer Ajer,21,2026-27
2026-27,Luke Lockwood,5-4-1,198,DEF,3,209036,Marc Guéhi,20,2026-27
2026-27,Luke Lockwood,5-4-1,198,DEF,4,465642,Malick Thiaw,14,2026-27
2026-27,Luke Lockwood,5-4-1,198,DEF,5,220627,James Justin,12,2026-27
2026-27,Luke Lockwood,5-4-1,198,MID,1,446008,Bryan Mbeumo,25,2026-27
2026-27,Luke Lockwood,5-4-1,198,MID,2,513545,Mamadou Sangaré,22,2026-27
2026-27,Luke Lockwood,5-4-1,198,MID,3,215413,Kiernan Dewsbury-Hall,20,2026-27
2026-27,Luke Lockwood,5-4-1,198,MID,4,440993,Iliman Ndiaye,14,2026-27
2026-27,Luke Lockwood,5-4-1,198,FWD,1,586309,Thierno Barry,20,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,GKP,1,465247,Senne Lammens,9,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,DEF,1,480455,Jarrad Branthwaite,24,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,DEF,2,544877,Milos Kerkez,13,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,DEF,3,465351,Matheus Nunes,10,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,MID,1,513418,Kevin Schade,39,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,MID,2,466052,Rayan Cherki,34,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,MID,3,195546,Emiliano Buendía Stati,19,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,MID,4,494595,Florian Wirtz,18,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,FWD,1,216646,Yoane Wissa,15,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,FWD,2,551466,Gonzalo García,12,2026-27
2026-27,Ethan Ellsworth,3-4-3,197,FWD,3,482973,Igor Jesus Maciel da Cruz,4,2026-27
2026-27,Alexander Chaban,5-3-2,191,GKP,1,154561,David Raya Martín,27,2026-27
2026-27,Alexander Chaban,5-3-2,191,DEF,1,610799,Luka Vušković,32,2026-27
2026-27,Alexander Chaban,5-3-2,191,DEF,2,97032,Virgil van Dijk,25,2026-27
2026-27,Alexander Chaban,5-3-2,191,DEF,3,169528,Antonee Robinson,10,2026-27
2026-27,Alexander Chaban,5-3-2,191,DEF,4,441164,Pedro Porro Sauceda,9,2026-27
2026-27,Alexander Chaban,5-3-2,191,DEF,5,199798,Ezri Konsa Ngoyo,8,2026-27
2026-27,Alexander Chaban,5-3-2,191,MID,1,244850,Morgan Rogers,29,2026-27
2026-27,Alexander Chaban,5-3-2,191,MID,2,499604,Rayan Vitor Simplício Rocha,10,2026-27
2026-27,Alexander Chaban,5-3-2,191,MID,3,510281,Sávio Moreira de Oliveira,8,2026-27
2026-27,Alexander Chaban,5-3-2,191,FWD,1,441264,Brian Brobbey,24,2026-27
2026-27,Alexander Chaban,5-3-2,191,FWD,2,463034,Liam Delap,9,2026-27
2026-27,Levi Morant,3-4-3,179,GKP,1,116535,Alisson Becker,11,2026-27
2026-27,Levi Morant,3-4-3,179,DEF,1,445087,Ronald Araujo,13,2026-27
2026-27,Levi Morant,3-4-3,179,DEF,2,227444,Nikola Milenković,12,2026-27
2026-27,Levi Morant,3-4-3,179,DEF,3,204120,Olivier Boscagli,8,2026-27
2026-27,Levi Morant,3-4-3,179,MID,1,223340,Bukayo Saka,32,2026-27
2026-27,Levi Morant,3-4-3,179,MID,2,244851,Cole Palmer,28,2026-27
2026-27,Levi Morant,3-4-3,179,MID,3,201666,Harvey Barnes,28,2026-27
2026-27,Levi Morant,3-4-3,179,MID,4,439509,Christos Tzolis,14,2026-27
2026-27,Levi Morant,3-4-3,179,FWD,1,219847,Kai Havertz,19,2026-27
2026-27,Levi Morant,3-4-3,179,FWD,2,438234,Omar Marmoush,8,2026-27
2026-27,Levi Morant,3-4-3,179,FWD,3,463067,Georginio Rutter,6,2026-27
2026-27,Julius Long,5-3-2,176,GKP,1,204936,Gianluigi Donnarumma,19,2026-27
2026-27,Julius Long,5-3-2,176,DEF,1,465730,Maxim De Cuyper,21,2026-27
2026-27,Julius Long,5-3-2,176,DEF,2,607464,Michael Kayode,17,2026-27
2026-27,Julius Long,5-3-2,176,DEF,3,95658,Harry Maguire,9,2026-27
2026-27,Julius Long,5-3-2,176,DEF,4,441302,Ian Maatsen,9,2026-27
