trade_id,source_row,season,timing,year,round,round_label,original_owner,previous_holder,sender,recipient,asset,notes,headline,trade_summary,source
2024-25-30,31,2024-25,Postseason,2026,5,5th,Ryan Houseman,Ryan Houseman,Ryan Houseman,Levi,2026 5th-round pick,multi-team trade; recipient inferred as Levi,Levi <-> Luke <-> Ryan Houseman,"Levi sent 5th-round pick (1st), 10th-round pick (7th), 11th-round pick (7th); Luke sent 7th-round pick (5th); Ryan Houseman sent Wood (NF), 2026 5th-round pick",BPL Fantasy.xlsx / Trade History
manual-2026-justin-3rd-to-levi,manual,Clarification,Before 2024-25 postseason row 32,2026,3,3rd,Justin,Justin,Justin,Levi,2026 3rd-round pick,Manual clarification: Justin had already traded this pick to Levi before Levi sent it to Dylan; the trade ledger does not clearly mark that pass-through.,Justin -> Levi,,User clarification
2024-25-31,32,2024-25,Postseason,2026,3,3rd,Justin,Levi,Levi,Dylan,2026 3rd-round pick,original owner inferred from a pass-through pick currently held by sender; sender held 2 3rd-round picks,Levi <-> Dylan,"Levi sent 3rd-round pick (5th), 3rd-round pick (9th), 5th-round pick (5th), 5th-round pick (9th), 2026 3rd-round pick, 2026 5th-round pick; Dylan sent 3rd-round pick (1st), 11th-round pick, 12th-round pick, 13th-round pick, 14th-round pick, 15th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-31,32,2024-25,Postseason,2026,5,5th,Ryan Houseman,Levi,Levi,Dylan,2026 5th-round pick,original owner inferred from a pass-through pick currently held by sender; sender held 2 5th-round picks,Levi <-> Dylan,"Levi sent 3rd-round pick (5th), 3rd-round pick (9th), 5th-round pick (5th), 5th-round pick (9th), 2026 3rd-round pick, 2026 5th-round pick; Dylan sent 3rd-round pick (1st), 11th-round pick, 12th-round pick, 13th-round pick, 14th-round pick, 15th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-32,33,2024-25,Postseason,2026,4,4th,Donny,Donny,Donny,Drake,2026 4th-round pick,,Drake <-> Donny,"Drake sent 4th-round pick (2nd); Donny sent 2026 4th-round pick, 2026 8th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-32,33,2024-25,Postseason,2026,8,8th,Donny,Donny,Donny,Drake,2026 8th-round pick,,Drake <-> Donny,"Drake sent 4th-round pick (2nd); Donny sent 2026 4th-round pick, 2026 8th-round pick",BPL Fantasy.xlsx / Trade History
2024-25-34,35,2024-25,Postseason,2026,10,10th,Levi,Levi,Levi,Ryan Houseman,2026 10th-round pick,,Levi <-> Ryan Houseman,"Levi sent 2026 10th-round pick; Ryan Houseman sent 2025 12th-round pick, 13th-round pick, 14th-round pick",BPL Fantasy.xlsx / Trade History
2025-26-35,37,2025-26,Draft Day,2026,10,10th,Donny,Donny,Donny,Dylan,2026 10th-round pick (via Donny),,Donny <-> Dylan,"Donny sent 2026 10th-round pick (via Donny), 2026 12th-round pick (via Donny); Dylan sent 9th-round pick (1st)",BPL Fantasy.xlsx / Trade History
2025-26-35,37,2025-26,Draft Day,2026,12,12th,Donny,Donny,Donny,Dylan,2026 12th-round pick (via Donny),,Donny <-> Dylan,"Donny sent 2026 10th-round pick (via Donny), 2026 12th-round pick (via Donny); Dylan sent 9th-round pick (1st)",BPL Fantasy.xlsx / Trade History
2025-26-36,38,2025-26,Preseason,2026,10,10th,Ethan,Ethan,Ethan,Donny,10th-round pick (via Ethan),,Donny <-> Ethan,"Donny sent Mamardashvili (LIV); Ethan sent 10th-round pick (via Ethan), Vicario (TOT)",BPL Fantasy.xlsx / Trade History
2025-26-39,41,2025-26,GW 10,2026,12,12th,Luke,Luke,Luke,Levi,12th-round pick,,Levi <-> Luke,"Levi sent Simons (TOT); Luke sent Cullen (BUR), 12th-round pick",BPL Fantasy.xlsx / Trade History
2025-26-40,42,2025-26,GW 22,2026,6,6th,Donny,Donny,Donny,Ethan,6th-round pick,,Donny <-> Ethan,"Donny sent Kushannov (MCI), 6th-round pick; Ethan sent Timber (ARS)",BPL Fantasy.xlsx / Trade History
2025-26-41,43,2025-26,GW 24,2026,4,4th,Levi,Levi,Levi,Ethan,4th-round pick,,Levi <-> Ethan,"Levi sent Damsgaard (BRE), 4th-round pick; Ethan sent Mbuemo (MU)",BPL Fantasy.xlsx / Trade History
2025-26-42,44,2025-26,GW 26,2026,7,7th,Justin,Justin,Justin,Levi,2026 7th-round pick,,Levi <-> Justin,"Levi sent Wissa (NEW); Justin sent Pablo (WHU), 2026 7th-round pick, 2027 6th-round pick",BPL Fantasy.xlsx / Trade History
2025-26-42,44,2025-26,GW 26,2027,6,6th,Justin,Justin,Justin,Levi,2027 6th-round pick,,Levi <-> Justin,"Levi sent Wissa (NEW); Justin sent Pablo (WHU), 2026 7th-round pick, 2027 6th-round pick",BPL Fantasy.xlsx / Trade History
2025-26-43,45,2025-26,GW 31,2027,5,5th,Justin,Justin,Justin,Levi,2027 5th-round pick,,Levi <-> Justin,"Levi sent Havertz (ARS), Watkins (AVL); Justin sent 2027 5th-round pick, matching players to be dropped",BPL Fantasy.xlsx / Trade History
2025-26-44,46,2025-26,GW 31,2026,7,7th,Luke,Luke,Luke,Levi,2026 7th-round pick,,Levi <-> Luke,"Levi sent Konate (LIV), Salah (LIV), Summerville (WHU), Armstrong (WOL); Luke sent 2026 7th-round pick, matching players to be dropped",BPL Fantasy.xlsx / Trade History
2025-26-45,47,2025-26,GW 31,2026,3,3rd,Luke,Luke,Luke,Levi,2026 3rd-round pick,,Levi <-> Luke,"Levi sent Mbuemo (MU); Luke sent 2026 3rd-round pick, matching players to be dropped",BPL Fantasy.xlsx / Trade History
2025-26-46,48,2025-26,GW 31,2026,8,8th,Justin,Justin,Justin,Levi,2026 8th-round pick,,Levi <-> Justin,"Levi sent O'Reilly (MC); Justin sent 2026 8th-round pick, matching players to be dropped",BPL Fantasy.xlsx / Trade History
2025-26-47,49,2025-26,GW 31,2026,6,6th,Justin,Justin,Justin,Julius,2026 6th-round pick,,Julius <-> Justin,"Julius sent Garner (EVE); Justin sent 2026 6th-round pick, João Gomes (WOL)",BPL Fantasy.xlsx / Trade History
2025-26-48,50,2025-26,GW 32,2026,9,9th,Donny,Donny,Donny,Julius,2026 9th-round pick,,Julius <-> Donny,"Julius sent Calvert-Lewin (LEE); Donny sent 2026 9th-round pick, Muniz (FUL)",BPL Fantasy.xlsx / Trade History
