season,manager,keeper_order,code,player,full_name,pl_team,fpl_position,points_2025_26,overall_rank_2025_26,position_rank_2025_26,source
2026-27,Donny,1,223094,Erling Haaland,Erling Haaland,Man City,FWD,239,1,1,Confirmed by league - 2026-27 preseason
2026-27,Donny,2,222531,Morgan Gibbs-White,Morgan Gibbs-White,Nott'm Forest,MID,188,5,3,Confirmed by league - 2026-27 preseason
2026-27,Justin,1,219168,Alexander Isak,Alexander Isak,Liverpool,FWD,41,327,36,Confirmed by league - 2026-27 preseason
2026-27,Justin,2,178301,Ollie Watkins,Ollie Watkins,Aston Villa,FWD,167,17,5,Confirmed by league - 2026-27 preseason
2026-27,Luke,1,209036,Marc Guéhi,Marc Guéhi,Man City,DEF,179,10,2,Confirmed by league - 2026-27 preseason
2026-27,Luke,2,446008,Bryan Mbeumo,Bryan Mbeumo,Man Utd,MID,148,32,15,Confirmed by league - 2026-27 preseason
2026-27,Drake,1,141746,Bruno Fernandes,Bruno Fernandes,Man Utd,MID,235,2,1,Confirmed by league - 2026-27 preseason
2026-27,Drake,2,444102,Evanilson,Evanilson,Bournemouth,FWD,115,94,11,Confirmed by league - 2026-27 preseason
2026-27,Ryan Houseman,1,226597,Gabriel,Gabriel,Arsenal,DEF,209,3,1,Confirmed by league - 2026-27 preseason
2026-27,Ryan Houseman,2,424876,Dominik Szoboszlai,Dominik Szoboszlai,Liverpool,MID,160,21,9,Confirmed by league - 2026-27 preseason
2026-27,Dylan,1,502500,Thiago,Thiago,Brentford,FWD,181,8,3,Confirmed by league - 2026-27 preseason
2026-27,Dylan,2,475168,João Pedro,João Pedro,Chelsea,FWD,177,11,4,Confirmed by league - 2026-27 preseason
2026-27,Levi,1,244851,Cole Palmer,Cole Palmer,Chelsea,MID,114,97,42,Confirmed by league - 2026-27 preseason
2026-27,Levi,2,223340,Bukayo Saka,Bukayo Saka,Arsenal,MID,157,24,11,Confirmed by league - 2026-27 preseason
2026-27,Chabo,1,244850,Morgan Rogers,Morgan Rogers,Chelsea,MID,169,15,6,Confirmed by league - 2026-27 preseason
2026-27,Chabo,2,248875,Jérémy Doku,Jérémy Doku,Man City,MID,120,81,38,Confirmed by league - 2026-27 preseason
2026-27,Ethan,1,466052,Rayan Cherki,Rayan Cherki,Man City,MID,135,47,23,Confirmed by league - 2026-27 preseason
2026-27,Ethan,2,232185,Ismaïla Sarr,Ismaïla Sarr,Crystal Palace,MID,117,87,40,Confirmed by league - 2026-27 preseason
2026-27,Julius,1,430871,Matheus Cunha,Matheus Cunha,Man Utd,MID,143,36,18,Confirmed by league - 2026-27 preseason
2026-27,Julius,2,224117,Viktor Gyökeres,Viktor Gyökeres,Arsenal,FWD,128,61,7,Confirmed by league - 2026-27 preseason
