season,manager,keeper_order,player,full_name,pl_team,fpl_position,source
2025-26,Chabo,1,Solanke,Dominic Solanke,Spurs,FWD,2025-26 Season.xlsx / Draft
2025-26,Chabo,2,Rogers,Morgan Rogers,Aston Villa,MID,2025-26 Season.xlsx / Draft
2025-26,Donny,1,Haaland,Erling Haaland,Man City,FWD,2025-26 Season.xlsx / Draft
2025-26,Donny,2,Cunha,Matheus Cunha,Man Utd,MID,2025-26 Season.xlsx / Draft
2025-26,Drake,1,B.Fernandes,Bruno Fernandes,Man Utd,MID,2025-26 Season.xlsx / Draft
2025-26,Drake,2,Strand Larsen,Jørgen Strand Larsen,Crystal Palace,FWD,2025-26 Season.xlsx / Draft
2025-26,Dylan,1,Bowen,Jarrod Bowen,West Ham,FWD,2025-26 Season.xlsx / Draft
2025-26,Dylan,2,Joao Pedro,João Pedro,Chelsea,FWD,2025-26 Season.xlsx / Draft
2025-26,Ethan,1,Mbuemo,Bryan Mbeumo,Man Utd,MID,2025-26 Season.xlsx / Draft
2025-26,Ethan,2,Marmoush,Omar Marmoush,Man City,MID,2025-26 Season.xlsx / Draft
2025-26,Julius,1,Isak,Alexander Isak,Liverpool,FWD,2025-26 Season.xlsx / Draft
2025-26,Julius,2,Salah,Mohamed Salah,Liverpool,MID,2025-26 Season.xlsx / Draft
2025-26,Justin,1,Watkins,Ollie Watkins,Aston Villa,FWD,2025-26 Season.xlsx / Draft
2025-26,Justin,2,Wissa,Yoane Wissa,Newcastle,FWD,2025-26 Season.xlsx / Draft
2025-26,Levi,1,Saka,Bukayo Saka,Arsenal,MID,2025-26 Season.xlsx / Draft
2025-26,Levi,2,Palmer,Cole Palmer,Chelsea,MID,2025-26 Season.xlsx / Draft
2025-26,Luke,1,Wood,Chris Wood,Nott'm Forest,FWD,2025-26 Season.xlsx / Draft
2025-26,Luke,2,Raul,Raúl Jiménez,Fulham,FWD,2025-26 Season.xlsx / Draft
2025-26,Ryan Houseman,1,Mateta,Jean-Philippe Mateta,Crystal Palace,FWD,2025-26 Season.xlsx / Draft
2025-26,Ryan Houseman,2,Eze,Eberechi Eze,Arsenal,MID,2025-26 Season.xlsx / Draft
