event,entry_id,league_entry_id,team,slot,is_starter,element,player,club,position,raw_points,points,multiplier
1,16290,16305,**Cunha Believe it?!,1,True,565,Vicario,TOT,GKP,9,9,1
1,16290,16305,**Cunha Believe it?!,2,True,373,Virgil,LIV,DEF,3,3,1
1,16290,16305,**Cunha Believe it?!,3,True,505,Milenković,NFO,DEF,2,2,1
1,16290,16305,**Cunha Believe it?!,4,True,293,O'Brien,EVE,DEF,2,2,1
1,16290,16305,**Cunha Believe it?!,5,True,603,Diouf,WHU,DEF,1,1,1
1,16290,16305,**Cunha Believe it?!,6,True,53,Malen,AVL,MID,1,1,1
1,16290,16305,**Cunha Believe it?!,7,True,450,Cunha,MUN,MID,2,2,1
1,16290,16305,**Cunha Believe it?!,8,True,485,Gordon,NEW,MID,3,3,1
1,16290,16305,**Cunha Believe it?!,9,True,515,Gibbs-White,NFO,MID,5,5,1
1,16290,16305,**Cunha Believe it?!,10,True,430,Haaland,MCI,FWD,13,13,1
1,16290,16305,**Cunha Believe it?!,11,True,362,Piroe,LEE,FWD,2,2,1
1,16290,16305,**Cunha Believe it?!,12,False,101,Kelleher,BRE,GKP,1,1,1
1,16290,16305,**Cunha Believe it?!,13,False,120,Schade,BRE,MID,1,1,1
1,16290,16305,**Cunha Believe it?!,14,False,338,Muniz,FUL,FWD,7,7,1
1,16290,16305,**Cunha Believe it?!,15,False,444,Yoro,MUN,DEF,4,4,1
2,16290,16305,**Cunha Believe it?!,1,True,101,Kelleher,BRE,GKP,5,5,1
2,16290,16305,**Cunha Believe it?!,2,True,373,Virgil,LIV,DEF,3,3,1
2,16290,16305,**Cunha Believe it?!,3,True,505,Milenković,NFO,DEF,2,2,1
2,16290,16305,**Cunha Believe it?!,4,True,36,Cash,AVL,DEF,2,2,1
2,16290,16305,**Cunha Believe it?!,5,True,120,Schade,BRE,MID,3,3,1
2,16290,16305,**Cunha Believe it?!,6,True,53,Malen,AVL,MID,1,1,1
2,16290,16305,**Cunha Believe it?!,7,True,450,Cunha,MUN,MID,2,2,1
2,16290,16305,**Cunha Believe it?!,8,True,485,Gordon,NEW,MID,-2,-2,1
2,16290,16305,**Cunha Believe it?!,9,True,515,Gibbs-White,NFO,MID,2,2,1
2,16290,16305,**Cunha Believe it?!,10,True,430,Haaland,MCI,FWD,2,2,1
2,16290,16305,**Cunha Believe it?!,11,True,338,Muniz,FUL,FWD,0,0,1
2,16290,16305,**Cunha Believe it?!,12,False,565,Vicario,TOT,GKP,9,9,1
2,16290,16305,**Cunha Believe it?!,13,False,444,Yoro,MUN,DEF,6,6,1
2,16290,16305,**Cunha Believe it?!,14,False,362,Piroe,LEE,FWD,1,1,1
2,16290,16305,**Cunha Believe it?!,15,False,475,Botman,NEW,DEF,0,0,1
3,16290,16305,**Cunha Believe it?!,1,True,101,Kelleher,BRE,GKP,1,1,1
3,16290,16305,**Cunha Believe it?!,2,True,373,Virgil,LIV,DEF,8,8,1
3,16290,16305,**Cunha Believe it?!,3,True,505,Milenković,NFO,DEF,1,1,1
3,16290,16305,**Cunha Believe it?!,4,True,36,Cash,AVL,DEF,0,0,1
3,16290,16305,**Cunha Believe it?!,5,True,444,Yoro,MUN,DEF,1,1,1
3,16290,16305,**Cunha Believe it?!,6,True,72,Senesi,BOU,DEF,14,14,1
3,16290,16305,**Cunha Believe it?!,7,True,120,Schade,BRE,MID,0,0,1
