manager,formation,xi_points,position,slot,player_code,player,points,seasons
Ryan Donlan,3-5-2,1988,GKP,1,200720,Caoimhín Kelleher,122,"2024-25, 2025-26, 2026-27"
Ryan Donlan,3-5-2,1988,DEF,1,97032,Virgil van Dijk,167,2025-26
Ryan Donlan,3-5-2,1988,DEF,2,169187,Trent Alexander-Arnold,127,2024-25
Ryan Donlan,3-5-2,1988,DEF,3,462424,William Saliba,117,2024-25
Ryan Donlan,3-5-2,1988,MID,1,430871,Matheus Santos Carneiro da Cunha,304,"2024-25, 2025-26"
Ryan Donlan,3-5-2,1988,MID,2,222531,Morgan Gibbs-White,203,"2025-26, 2026-27"
Ryan Donlan,3-5-2,1988,MID,3,446008,Bryan Mbeumo,166,2024-25
Ryan Donlan,3-5-2,1988,MID,4,114243,Jacob Murphy,117,2024-25
Ryan Donlan,3-5-2,1988,MID,5,513418,Kevin Schade,116,2025-26
Ryan Donlan,3-5-2,1988,FWD,1,223094,Erling Haaland,459,"2024-25, 2025-26, 2026-27"
Ryan Donlan,3-5-2,1988,FWD,2,470313,Nick Woltemade,90,2025-26
Justin Miller,3-5-2,1569,GKP,1,204936,Gianluigi Donnarumma,92,2025-26
Justin Miller,3-5-2,1569,DEF,1,17761,James Tarkowski,148,2025-26
Justin Miller,3-5-2,1569,DEF,2,97032,Virgil van Dijk,136,2024-25
Justin Miller,3-5-2,1569,DEF,3,171314,Rúben dos Santos Gato Alves Dias,115,"2024-25, 2025-26"
Justin Miller,3-5-2,1569,MID,1,178186,Jarrod Bowen,168,2024-25
Justin Miller,3-5-2,1569,MID,2,244850,Morgan Rogers,159,2024-25
Justin Miller,3-5-2,1569,MID,3,222531,Morgan Gibbs-White,148,2024-25
Justin Miller,3-5-2,1569,MID,4,440993,Iliman Ndiaye,125,2025-26
Justin Miller,3-5-2,1569,MID,5,118748,Mohamed Salah,122,2024-25
Justin Miller,3-5-2,1569,FWD,1,178301,Ollie Watkins,253,"2024-25, 2025-26"
Justin Miller,3-5-2,1569,FWD,2,463034,Liam Delap,103,2024-25
Ryan Houseman,3-4-3,1873,GKP,1,154561,David Raya Martín,124,2025-26
Ryan Houseman,3-4-3,1873,DEF,1,226597,Gabriel dos Santos Magalhães,234,"2025-26, 2026-27"
Ryan Houseman,3-4-3,1873,DEF,2,227444,Nikola Milenković,123,2024-25
Ryan Houseman,3-4-3,1873,DEF,3,106611,Michael Keane,90,2025-26
Ryan Houseman,3-4-3,1873,MID,1,232413,Eberechi Eze,251,"2024-25, 2025-26, 2026-27"
Ryan Houseman,3-4-3,1873,MID,2,424876,Dominik Szoboszlai,180,"2025-26, 2026-27"
