season,manager,formation,xi_points,position,slot,player_code,player,points,seasons
2025-26,Ryan Donlan,4-4-2,1249,GKP,1,200720,Caoimhín Kelleher,94,2025-26
2025-26,Ryan Donlan,4-4-2,1249,DEF,1,97032,Virgil van Dijk,167,2025-26
2025-26,Ryan Donlan,4-4-2,1249,DEF,2,221466,Marcos Senesi Barón,66,2025-26
2025-26,Ryan Donlan,4-4-2,1249,DEF,3,465642,Malick Thiaw,50,2025-26
2025-26,Ryan Donlan,4-4-2,1249,DEF,4,463981,James Hill,33,2025-26
2025-26,Ryan Donlan,4-4-2,1249,MID,1,222531,Morgan Gibbs-White,175,2025-26
2025-26,Ryan Donlan,4-4-2,1249,MID,2,430871,Matheus Santos Carneiro da Cunha,133,2025-26
2025-26,Ryan Donlan,4-4-2,1249,MID,3,513418,Kevin Schade,116,2025-26
2025-26,Ryan Donlan,4-4-2,1249,MID,4,232826,Anthony Gordon,86,2025-26
2025-26,Ryan Donlan,4-4-2,1249,FWD,1,223094,Erling Haaland,239,2025-26
2025-26,Ryan Donlan,4-4-2,1249,FWD,2,470313,Nick Woltemade,90,2025-26
2025-26,Justin Miller,4-5-1,992,GKP,1,204936,Gianluigi Donnarumma,92,2025-26
2025-26,Justin Miller,4-5-1,992,DEF,1,17761,James Tarkowski,148,2025-26
2025-26,Justin Miller,4-5-1,992,DEF,2,171314,Rúben dos Santos Gato Alves Dias,79,2025-26
2025-26,Justin Miller,4-5-1,992,DEF,3,244723,Tyrick Mitchell,70,2025-26
2025-26,Justin Miller,4-5-1,992,DEF,4,216094,Jeremie Frimpong,50,2025-26
2025-26,Justin Miller,4-5-1,992,MID,1,440993,Iliman Ndiaye,125,2025-26
2025-26,Justin Miller,4-5-1,992,MID,2,153682,Harry Wilson,106,2025-26
2025-26,Justin Miller,4-5-1,992,MID,3,494595,Florian Wirtz,102,2025-26
2025-26,Justin Miller,4-5-1,992,MID,4,533463,Dango Ouattara,96,2025-26
2025-26,Justin Miller,4-5-1,992,MID,5,592031,Yankuba Minteh,57,2025-26
2025-26,Justin Miller,4-5-1,992,FWD,1,178301,Ollie Watkins,67,2025-26
2025-26,Luke Lockwood,5-4-1,1024,GKP,1,215059,Robert Lynch Sánchez,107,2025-26
2025-26,Luke Lockwood,5-4-1,1024,DEF,1,209036,Marc Guéhi,179,2025-26
2025-26,Luke Lockwood,5-4-1,1024,DEF,2,465351,Matheus Nunes,120,2025-26
2025-26,Luke Lockwood,5-4-1,1024,DEF,3,225796,Reece James,89,2025-26
2025-26,Luke Lockwood,5-4-1,1024,DEF,4,477424,Joško Gvardiol,77,2025-26
2025-26,Luke Lockwood,5-4-1,1024,DEF,5,224967,Vitalii Mykolenko,46,2025-26
2025-26,Luke Lockwood,5-4-1,1024,MID,1,247632,Pedro Lomba Neto,112,2025-26
2025-26,Luke Lockwood,5-4-1,1024,MID,2,215413,Kiernan Dewsbury-Hall,69,2025-26
2025-26,Luke Lockwood,5-4-1,1024,MID,3,84450,Granit Xhaka,64,2025-26
2025-26,Luke Lockwood,5-4-1,1024,MID,4,248875,Jérémy Doku,56,2025-26
2025-26,Luke Lockwood,5-4-1,1024,FWD,1,102057,Raúl Jiménez Rodríguez,105,2025-26
2025-26,Drake Byrd,4-5-1,1320,GKP,1,85633,Matz Sels,74,2025-26
2025-26,Drake Byrd,4-5-1,1320,DEF,1,462424,William Saliba,137,2025-26
2025-26,Drake Byrd,4-5-1,1320,DEF,2,247348,Daniel Muñoz Mejía,136,2025-26
2025-26,Drake Byrd,4-5-1,1320,DEF,3,427623,Chris Richards,117,2025-26
2025-26,Drake Byrd,4-5-1,1320,DEF,4,469142,Jan Paul van Hecke,106,2025-26
2025-26,Drake Byrd,4-5-1,1320,MID,1,141746,Bruno Borges Fernandes,235,2025-26
2025-26,Drake Byrd,4-5-1,1320,MID,2,208706,Bruno Guimarães Rodriguez Moura,132,2025-26
