event,winner,winner_points,winner_week_rank,loser,loser_points,loser_week_rank,margin,rank_gap,event_median,bad_beat,soft_win
1,Bowen Arrows,51,2,**Cunha Believe it?!,43,4,8,2,42.0,True,False
1,Into the WOODwork*,42,5,*Saka It To Me Baby,36,8,6,3,42.0,False,False
1,ChabosSpurs@Law,59,1,Sue-nited FC*,39,7,20,6,42.0,False,False
1,Grand-Larseny,46,3,eze as u like b*%chs,34,9,12,6,42.0,False,False
1,Santa’s reijnders,42,5,Amorim de mi vida,34,9,8,4,42.0,False,False
2,Santa’s reijnders,57,1,**Cunha Believe it?!,20,10,37,9,41.5,False,False
2,Amorim de mi vida,51,3,eze as u like b*%chs,45,4,6,1,41.5,True,False
2,ChabosSpurs@Law,55,2,Grand-Larseny,39,7,16,5,41.5,False,False
2,Sue-nited FC*,42,5,Into the WOODwork*,24,9,18,4,41.5,False,False
2,Bowen Arrows,41,6,*Saka It To Me Baby,35,8,6,2,41.5,False,True
3,Into the WOODwork*,40,6,**Cunha Believe it?!,39,8,1,2,41.0,False,True
3,ChabosSpurs@Law,48,3,Bowen Arrows,40,6,8,3,41.0,False,False
3,eze as u like b*%chs,42,5,*Saka It To Me Baby,23,10,19,5,41.0,False,False
3,Santa’s reijnders,49,2,Sue-nited FC*,30,9,19,7,41.0,False,False
3,Grand-Larseny,56,1,Amorim de mi vida,43,4,13,3,41.0,True,False
4,**Cunha Believe it?!,55,4,Amorim de mi vida,44,6,11,2,45.5,False,False
4,Grand-Larseny,41,8,Santa’s reijnders,39,10,2,2,45.5,False,True
4,Sue-nited FC*,56,3,eze as u like b*%chs,47,5,9,2,45.5,True,False
4,*Saka It To Me Baby,62,1,ChabosSpurs@Law,59,2,3,1,45.5,True,False
4,Into the WOODwork*,42,7,Bowen Arrows,41,8,1,1,45.5,False,True
5,**Cunha Believe it?!,55,1,ChabosSpurs@Law,34,5,21,4,33.5,True,False
5,eze as u like b*%chs,31,7,Into the WOODwork*,21,9,10,2,33.5,False,True
5,Bowen Arrows,47,2,Santa’s reijnders,33,6,14,4,33.5,False,False
5,Amorim de mi vida,22,8,*Saka It To Me Baby,20,10,2,2,33.5,False,True
5,Grand-Larseny,47,2,Sue-nited FC*,46,4,1,2,33.5,True,False
6,**Cunha Believe it?!,47,4,Grand-Larseny,18,10,29,6,41.0,False,False
6,Amorim de mi vida,46,5,Sue-nited FC*,28,7,18,2,41.0,False,False
6,*Saka It To Me Baby,36,6,Santa’s reijnders,26,8,10,2,41.0,False,True
6,Bowen Arrows,56,1,eze as u like b*%chs,51,3,5,2,41.0,True,False
6,Into the WOODwork*,55,2,ChabosSpurs@Law,20,9,35,7,41.0,False,False
7,eze as u like b*%chs,45,2,**Cunha Believe it?!,34,9,11,7,40.0,False,False
7,Santa’s reijnders,53,1,ChabosSpurs@Law,34,9,19,8,40.0,False,False
7,Into the WOODwork*,40,5,Amorim de mi vida,38,8,2,3,40.0,False,False
7,Grand-Larseny,44,3,Bowen Arrows,39,7,5,4,40.0,False,False
7,*Saka It To Me Baby,41,4,Sue-nited FC*,40,5,1,1,40.0,False,False
8,**Cunha Believe it?!,72,2,Sue-nited FC*,29,8,43,6,35.5,False,False
8,Grand-Larseny,44,4,*Saka It To Me Baby,29,8,15,4,35.5,False,False
8,Bowen Arrows,34,6,Amorim de mi vida,22,10,12,4,35.5,False,True
8,Into the WOODwork*,54,3,Santa’s reijnders,37,5,17,2,35.5,True,False
8,eze as u like b*%chs,79,1,ChabosSpurs@Law,32,7,47,6,35.5,False,False
9,*Saka It To Me Baby,46,4,**Cunha Believe it?!,40,6,6,2,42.5,False,False
9,Sue-nited FC*,31,8,Bowen Arrows,23,10,8,2,42.5,False,True
9,Grand-Larseny,50,3,Into the WOODwork*,27,9,23,6,42.5,False,False
