team,position,starter_points,starts,points_per_start,bench_points,bench_slots
**Cunha Believe it?!,GKP,166,38,4.37,112,38
Sue-nited FC*,GKP,154,38,4.05,108,38
eze as u like b*%chs,GKP,153,38,4.03,129,38
ChabosSpurs@Law,GKP,144,38,3.79,103,38
Santa’s reijnders,GKP,137,38,3.61,3,38
*Saka It To Me Baby,GKP,136,38,3.58,91,38
Amorim de mi vida,GKP,136,38,3.58,94,38
Bowen Arrows,GKP,135,38,3.55,63,38
Grand-Larseny,GKP,122,38,3.21,61,38
Into the WOODwork*,GKP,114,38,3.0,95,38
eze as u like b*%chs,DEF,584,130,4.49,65,60
Sue-nited FC*,DEF,657,156,4.21,69,34
**Cunha Believe it?!,DEF,611,145,4.21,123,45
Grand-Larseny,DEF,572,142,4.03,58,48
Into the WOODwork*,DEF,598,154,3.88,54,36
Amorim de mi vida,DEF,514,135,3.81,98,55
*Saka It To Me Baby,DEF,548,150,3.65,30,40
Santa’s reijnders,DEF,540,151,3.58,15,39
ChabosSpurs@Law,DEF,472,144,3.28,53,46
Bowen Arrows,DEF,372,121,3.07,47,69
Grand-Larseny,MID,725,147,4.93,58,43
Sue-nited FC*,MID,633,157,4.03,28,33
eze as u like b*%chs,MID,645,162,3.98,65,28
Santa’s reijnders,MID,570,148,3.85,17,42
**Cunha Believe it?!,MID,595,155,3.84,57,35
*Saka It To Me Baby,MID,575,151,3.81,9,39
ChabosSpurs@Law,MID,650,171,3.8,20,19
Into the WOODwork*,MID,566,152,3.72,24,38
Bowen Arrows,MID,531,148,3.59,81,42
Amorim de mi vida,MID,537,163,3.29,38,27
**Cunha Believe it?!,FWD,392,80,4.9,36,34
Bowen Arrows,FWD,539,111,4.86,6,3
Sue-nited FC*,FWD,237,67,3.54,55,47
ChabosSpurs@Law,FWD,219,65,3.37,31,49
Into the WOODwork*,FWD,249,74,3.36,29,40
Amorim de mi vida,FWD,266,82,3.24,30,32
Santa’s reijnders,FWD,259,81,3.2,35,33
eze as u like b*%chs,FWD,277,88,3.15,9,26
*Saka It To Me Baby,FWD,236,79,2.99,16,35
Grand-Larseny,FWD,237,91,2.6,31,23
