event,league_entry_id,entry_id,team,starter_points,bench_points,bench_gk_points,best_bench_points,starter_zeroes,starter_double_digits
1,16305,16290,**Cunha Believe it?!,43,13,1,7,0,1
1,50697,52346,*Saka It To Me Baby,36,0,0,0,1,0
1,19296,19316,Amorim de mi vida,34,11,0,6,0,0
1,50914,52570,Bowen Arrows,51,8,2,6,0,1
1,88117,90970,ChabosSpurs@Law,59,8,2,6,0,1
1,36251,37280,Grand-Larseny,46,5,0,5,0,1
1,53433,55182,Into the WOODwork*,42,0,0,0,0,1
1,17389,17373,Santa’s reijnders,42,1,0,1,2,1
1,37354,38443,Sue-nited FC*,39,0,0,0,2,0
1,99210,102012,eze as u like b*%chs,34,6,0,6,1,1
2,16305,16290,**Cunha Believe it?!,20,16,9,9,1,0
2,50697,52346,*Saka It To Me Baby,35,0,0,0,1,1
2,19296,19316,Amorim de mi vida,51,6,0,6,0,3
2,50914,52570,Bowen Arrows,41,3,1,1,1,1
2,88117,90970,ChabosSpurs@Law,55,11,2,6,0,1
2,36251,37280,Grand-Larseny,39,2,0,2,0,0
2,53433,55182,Into the WOODwork*,24,12,6,6,1,0
2,17389,17373,Santa’s reijnders,57,3,0,2,0,2
2,37354,38443,Sue-nited FC*,42,1,0,1,1,0
2,99210,102012,eze as u like b*%chs,45,15,2,7,1,1
3,16305,16290,**Cunha Believe it?!,39,4,3,3,2,1
3,50697,52346,*Saka It To Me Baby,23,0,0,0,0,0
3,19296,19316,Amorim de mi vida,43,3,0,3,0,2
3,50914,52570,Bowen Arrows,40,2,2,2,1,0
3,88117,90970,ChabosSpurs@Law,48,6,5,5,0,2
3,36251,37280,Grand-Larseny,56,4,1,3,0,1
3,53433,55182,Into the WOODwork*,40,8,2,6,0,1
3,17389,17373,Santa’s reijnders,49,7,0,6,0,1
3,37354,38443,Sue-nited FC*,30,14,6,6,0,0
3,99210,102012,eze as u like b*%chs,42,4,0,2,0,1
4,16305,16290,**Cunha Believe it?!,55,3,2,2,0,1
4,50697,52346,*Saka It To Me Baby,62,0,0,0,0,1
4,19296,19316,Amorim de mi vida,44,8,0,8,0,0
4,50914,52570,Bowen Arrows,41,4,2,2,2,1
4,88117,90970,ChabosSpurs@Law,59,3,2,2,0,2
4,36251,37280,Grand-Larseny,41,2,2,2,0,1
4,53433,55182,Into the WOODwork*,42,3,3,3,2,1
4,17389,17373,Santa’s reijnders,39,0,0,0,2,0
4,37354,38443,Sue-nited FC*,56,6,6,6,0,1
4,99210,102012,eze as u like b*%chs,47,10,6,6,0,1
5,16305,16290,**Cunha Believe it?!,55,4,1,2,0,2
5,50697,52346,*Saka It To Me Baby,20,3,0,2,1,0
5,19296,19316,Amorim de mi vida,22,2,1,1,1,0
5,50914,52570,Bowen Arrows,47,2,1,1,2,1
5,88117,90970,ChabosSpurs@Law,34,6,6,6,0,0
5,36251,37280,Grand-Larseny,47,12,2,5,0,1
5,53433,55182,Into the WOODwork*,21,5,4,4,0,0
5,17389,17373,Santa’s reijnders,33,1,0,1,1,0
5,37354,38443,Sue-nited FC*,46,14,1,11,0,0
5,99210,102012,eze as u like b*%chs,31,4,3,3,1,0
6,16305,16290,**Cunha Believe it?!,47,13,8,8,0,1
6,50697,52346,*Saka It To Me Baby,36,6,0,6,1,1
6,19296,19316,Amorim de mi vida,46,8,3,4,1,0
6,50914,52570,Bowen Arrows,56,2,2,2,0,2
6,88117,90970,ChabosSpurs@Law,20,3,3,3,0,0
6,36251,37280,Grand-Larseny,18,8,2,2,1,0
6,53433,55182,Into the WOODwork*,55,1,1,1,0,2
6,17389,17373,Santa’s reijnders,26,3,0,2,1,1
6,37354,38443,Sue-nited FC*,28,8,1,4,0,0
6,99210,102012,eze as u like b*%chs,51,4,3,3,0,2
7,16305,16290,**Cunha Believe it?!,34,9,3,5,0,0
7,50697,52346,*Saka It To Me Baby,41,5,2,3,0,0
7,19296,19316,Amorim de mi vida,38,3,2,2,0,1
7,50914,52570,Bowen Arrows,39,1,1,1,3,1
7,88117,90970,ChabosSpurs@Law,34,3,3,3,1,1
7,36251,37280,Grand-Larseny,44,26,0,14,0,1
7,53433,55182,Into the WOODwork*,40,2,2,2,0,1
7,17389,17373,Santa’s reijnders,53,1,0,1,0,1
7,37354,38443,Sue-nited FC*,40,8,2,3,0,0
7,99210,102012,eze as u like b*%chs,45,8,1,7,0,1
8,16305,16290,**Cunha Believe it?!,72,3,1,1,0,3
8,50697,52346,*Saka It To Me Baby,29,3,1,2,0,0
8,19296,19316,Amorim de mi vida,22,3,2,2,0,0
8,50914,52570,Bowen Arrows,34,3,2,2,1,0
8,88117,90970,ChabosSpurs@Law,32,2,2,2,2,1
8,36251,37280,Grand-Larseny,44,3,0,2,0,1
8,53433,55182,Into the WOODwork*,54,9,9,9,0,2
8,17389,17373,Santa’s reijnders,37,0,0,0,1,0
8,37354,38443,Sue-nited FC*,29,9,3,3,0,0
8,99210,102012,eze as u like b*%chs,79,3,2,2,0,3
9,16305,16290,**Cunha Believe it?!,40,5,2,2,0,0
9,50697,52346,*Saka It To Me Baby,46,4,2,2,0,1
9,19296,19316,Amorim de mi vida,40,3,1,1,0,0
9,50914,52570,Bowen Arrows,23,3,1,2,3,0
9,88117,90970,ChabosSpurs@Law,55,4,2,2,0,2
9,36251,37280,Grand-Larseny,50,2,0,2,0,2
9,53433,55182,Into the WOODwork*,27,2,2,2,1,0
9,17389,17373,Santa’s reijnders,45,6,0,6,0,1
9,37354,38443,Sue-nited FC*,31,6,2,4,0,0
9,99210,102012,eze as u like b*%chs,69,9,8,8,0,3
10,16305,16290,**Cunha Believe it?!,47,5,1,3,0,1
10,50697,52346,*Saka It To Me Baby,40,2,2,2,0,1
10,19296,19316,Amorim de mi vida,52,9,2,5,0,1
10,50914,52570,Bowen Arrows,32,8,6,6,2,0
10,88117,90970,ChabosSpurs@Law,26,7,6,6,0,0
10,36251,37280,Grand-Larseny,51,4,0,2,0,1
10,53433,55182,Into the WOODwork*,55,4,2,2,0,2
10,17389,17373,Santa’s reijnders,32,0,0,0,0,0
10,37354,38443,Sue-nited FC*,49,10,2,8,0,0
10,99210,102012,eze as u like b*%chs,61,5,1,3,1,2
11,16305,16290,**Cunha Believe it?!,44,3,2,2,0,1
11,50697,52346,*Saka It To Me Baby,32,1,1,1,0,1
11,19296,19316,Amorim de mi vida,36,7,2,5,1,0
11,50914,52570,Bowen Arrows,52,15,6,9,1,2
11,88117,90970,ChabosSpurs@Law,42,2,1,1,0,0
11,36251,37280,Grand-Larseny,39,2,0,2,0,0
11,53433,55182,Into the WOODwork*,59,15,2,13,0,1
11,17389,17373,Santa’s reijnders,32,0,0,0,0,0
11,37354,38443,Sue-nited FC*,53,18,6,6,0,2
11,99210,102012,eze as u like b*%chs,31,18,14,14,1,1
12,16305,16290,**Cunha Believe it?!,36,1,1,1,1,0
12,50697,52346,*Saka It To Me Baby,31,3,3,3,0,1
12,19296,19316,Amorim de mi vida,43,9,9,9,2,3
12,50914,52570,Bowen Arrows,39,7,7,7,1,1
12,88117,90970,ChabosSpurs@Law,52,3,1,2,2,2
12,36251,37280,Grand-Larseny,59,2,0,2,0,2
12,53433,55182,Into the WOODwork*,53,5,2,2,0,1
12,17389,17373,Santa’s reijnders,31,2,0,1,0,0
12,37354,38443,Sue-nited FC*,54,15,1,8,1,2
12,99210,102012,eze as u like b*%chs,59,20,3,17,1,1
13,16305,16290,**Cunha Believe it?!,34,6,1,4,0,0
13,50697,52346,*Saka It To Me Baby,43,2,2,2,1,0
13,19296,19316,Amorim de mi vida,24,2,2,2,1,0
13,50914,52570,Bowen Arrows,45,7,0,7,0,2
13,88117,90970,ChabosSpurs@Law,29,11,2,9,2,1
13,36251,37280,Grand-Larseny,39,3,0,2,0,1
13,53433,55182,Into the WOODwork*,38,2,1,1,1,0
13,17389,17373,Santa’s reijnders,41,1,0,1,0,1
13,37354,38443,Sue-nited FC*,45,6,1,3,0,1
13,99210,102012,eze as u like b*%chs,29,9,3,6,1,0
14,16305,16290,**Cunha Believe it?!,46,4,2,2,1,1
14,50697,52346,*Saka It To Me Baby,55,5,3,3,1,2
14,19296,19316,Amorim de mi vida,36,4,3,3,1,0
14,50914,52570,Bowen Arrows,30,7,0,7,0,0
14,88117,90970,ChabosSpurs@Law,55,2,2,2,0,2
14,36251,37280,Grand-Larseny,64,4,0,4,0,2
14,53433,55182,Into the WOODwork*,44,2,2,2,1,1
14,17389,17373,Santa’s reijnders,28,1,0,1,1,0
14,37354,38443,Sue-nited FC*,22,20,0,10,3,0
14,99210,102012,eze as u like b*%chs,40,0,0,0,1,1
15,16305,16290,**Cunha Believe it?!,41,14,2,9,0,1
15,50697,52346,*Saka It To Me Baby,31,3,1,1,0,0
15,19296,19316,Amorim de mi vida,35,3,3,3,1,0
15,50914,52570,Bowen Arrows,50,2,0,3,0,1
15,88117,90970,ChabosSpurs@Law,58,7,7,7,0,3
15,36251,37280,Grand-Larseny,57,0,0,0,0,2
15,53433,55182,Into the WOODwork*,60,11,3,6,0,2
15,17389,17373,Santa’s reijnders,41,0,0,0,0,1
15,37354,38443,Sue-nited FC*,60,7,2,4,0,1
15,99210,102012,eze as u like b*%chs,42,10,4,6,0,0
16,16305,16290,**Cunha Believe it?!,40,3,2,2,2,1
16,50697,52346,*Saka It To Me Baby,48,7,1,6,0,1
16,19296,19316,Amorim de mi vida,19,6,1,4,0,0
16,50914,52570,Bowen Arrows,37,6,0,4,0,0
16,88117,90970,ChabosSpurs@Law,57,3,1,1,1,3
16,36251,37280,Grand-Larseny,40,0,0,0,2,2
16,53433,55182,Into the WOODwork*,49,2,1,1,0,1
16,17389,17373,Santa’s reijnders,52,7,0,5,0,0
16,37354,38443,Sue-nited FC*,57,17,7,8,0,2
16,99210,102012,eze as u like b*%chs,22,1,0,1,1,0
17,16305,16290,**Cunha Believe it?!,90,20,1,10,0,4
17,50697,52346,*Saka It To Me Baby,45,2,1,1,0,0
17,19296,19316,Amorim de mi vida,20,3,2,2,1,0
17,50914,52570,Bowen Arrows,57,0,0,0,0,3
17,88117,90970,ChabosSpurs@Law,46,1,1,1,2,2
17,36251,37280,Grand-Larseny,23,1,0,1,1,0
17,53433,55182,Into the WOODwork*,48,4,2,2,0,0
17,17389,17373,Santa’s reijnders,48,0,0,0,0,1
17,37354,38443,Sue-nited FC*,43,8,7,7,1,0
17,99210,102012,eze as u like b*%chs,47,3,3,3,2,1
18,16305,16290,**Cunha Believe it?!,45,3,2,2,0,1
18,50697,52346,*Saka It To Me Baby,36,9,9,9,0,1
18,19296,19316,Amorim de mi vida,43,6,3,3,0,1
18,50914,52570,Bowen Arrows,42,0,0,0,2,0
18,88117,90970,ChabosSpurs@Law,32,7,7,7,2,1
18,36251,37280,Grand-Larseny,16,0,0,0,1,0
18,53433,55182,Into the WOODwork*,52,18,11,11,0,1
18,17389,17373,Santa’s reijnders,59,0,0,0,0,2
18,37354,38443,Sue-nited FC*,45,6,6,6,0,1
18,99210,102012,eze as u like b*%chs,30,2,2,2,1,1
19,16305,16290,**Cunha Believe it?!,34,17,10,10,1,0
19,50697,52346,*Saka It To Me Baby,48,7,7,7,1,0
19,19296,19316,Amorim de mi vida,75,12,2,9,0,3
19,50914,52570,Bowen Arrows,29,1,1,1,0,0
19,88117,90970,ChabosSpurs@Law,32,6,5,5,0,1
19,36251,37280,Grand-Larseny,23,0,0,0,3,1
19,53433,55182,Into the WOODwork*,45,7,2,4,0,1
19,17389,17373,Santa’s reijnders,41,0,0,0,0,0
19,37354,38443,Sue-nited FC*,47,2,2,2,0,0
19,99210,102012,eze as u like b*%chs,54,1,1,1,1,2
20,16305,16290,**Cunha Believe it?!,44,13,2,8,1,1
20,50697,52346,*Saka It To Me Baby,27,3,3,3,2,0
20,19296,19316,Amorim de mi vida,25,16,1,11,0,0
20,50914,52570,Bowen Arrows,47,7,7,7,1,1
20,88117,90970,ChabosSpurs@Law,48,3,2,2,0,1
20,36251,37280,Grand-Larseny,29,1,1,1,3,1
20,53433,55182,Into the WOODwork*,26,2,0,1,1,0
20,17389,17373,Santa’s reijnders,37,0,0,0,1,1
20,37354,38443,Sue-nited FC*,45,1,1,1,1,1
20,99210,102012,eze as u like b*%chs,24,21,3,17,3,0
21,16305,16290,**Cunha Believe it?!,46,24,1,9,0,1
21,50697,52346,*Saka It To Me Baby,30,2,2,2,0,0
21,19296,19316,Amorim de mi vida,53,17,2,9,0,2
21,50914,52570,Bowen Arrows,32,3,3,3,2,1
21,88117,90970,ChabosSpurs@Law,36,2,1,1,2,1
21,36251,37280,Grand-Larseny,49,3,3,3,1,1
21,53433,55182,Into the WOODwork*,38,6,3,3,0,0
21,17389,17373,Santa’s reijnders,51,-3,0,0,0,1
21,37354,38443,Sue-nited FC*,35,3,3,3,1,0
21,99210,102012,eze as u like b*%chs,44,12,1,9,0,0
22,16305,16290,**Cunha Believe it?!,28,8,0,3,1,0
22,50697,52346,*Saka It To Me Baby,29,6,6,6,0,0
22,19296,19316,Amorim de mi vida,26,12,10,10,0,0
22,50914,52570,Bowen Arrows,40,7,2,4,0,0
22,88117,90970,ChabosSpurs@Law,34,11,2,9,1,0
22,36251,37280,Grand-Larseny,48,10,10,10,0,1
22,53433,55182,Into the WOODwork*,32,5,5,5,1,1
22,17389,17373,Santa’s reijnders,30,14,0,9,0,0
22,37354,38443,Sue-nited FC*,50,5,3,3,0,2
22,99210,102012,eze as u like b*%chs,40,6,2,4,1,0
23,16305,16290,**Cunha Believe it?!,34,19,1,9,0,0
23,50697,52346,*Saka It To Me Baby,43,2,2,2,1,1
23,19296,19316,Amorim de mi vida,28,7,2,3,0,0
23,50914,52570,Bowen Arrows,47,8,3,4,0,2
23,88117,90970,ChabosSpurs@Law,36,8,1,7,0,0
23,36251,37280,Grand-Larseny,35,1,1,1,0,0
23,53433,55182,Into the WOODwork*,47,8,5,5,0,1
23,17389,17373,Santa’s reijnders,36,3,0,2,1,1
23,37354,38443,Sue-nited FC*,48,4,3,3,2,1
23,99210,102012,eze as u like b*%chs,32,13,10,10,1,1
24,16305,16290,**Cunha Believe it?!,53,2,1,1,0,1
24,50697,52346,*Saka It To Me Baby,44,3,2,2,0,2
24,19296,19316,Amorim de mi vida,41,8,2,6,0,0
24,50914,52570,Bowen Arrows,54,8,1,3,0,1
24,88117,90970,ChabosSpurs@Law,37,8,1,4,0,2
24,36251,37280,Grand-Larseny,51,2,1,1,0,3
24,53433,55182,Into the WOODwork*,25,6,1,5,0,0
24,17389,17373,Santa’s reijnders,47,2,0,2,0,0
24,37354,38443,Sue-nited FC*,43,2,2,2,1,1
24,99210,102012,eze as u like b*%chs,59,4,2,2,0,0
25,16305,16290,**Cunha Believe it?!,30,8,2,6,1,1
25,50697,52346,*Saka It To Me Baby,66,4,1,2,0,2
25,19296,19316,Amorim de mi vida,49,6,0,4,0,2
25,50914,52570,Bowen Arrows,36,8,3,4,1,0
25,88117,90970,ChabosSpurs@Law,41,4,3,3,0,1
25,36251,37280,Grand-Larseny,61,1,0,1,0,2
25,53433,55182,Into the WOODwork*,34,1,1,1,0,1
25,17389,17373,Santa’s reijnders,40,0,0,0,0,1
25,37354,38443,Sue-nited FC*,28,3,3,3,0,1
25,99210,102012,eze as u like b*%chs,39,8,6,6,0,0
26,16305,16290,**Cunha Believe it?!,61,9,2,5,0,3
26,50697,52346,*Saka It To Me Baby,71,2,2,2,0,3
26,19296,19316,Amorim de mi vida,33,0,0,0,0,0
26,50914,52570,Bowen Arrows,50,6,2,2,0,2
26,88117,90970,ChabosSpurs@Law,30,12,2,5,1,0
26,36251,37280,Grand-Larseny,33,6,0,5,1,1
26,53433,55182,Into the WOODwork*,26,2,1,1,1,0
26,17389,17373,Santa’s reijnders,23,1,0,1,0,0
26,37354,38443,Sue-nited FC*,40,1,1,1,1,1
26,99210,102012,eze as u like b*%chs,44,12,8,8,0,1
27,16305,16290,**Cunha Believe it?!,48,8,2,3,0,2
27,50697,52346,*Saka It To Me Baby,66,3,1,2,0,1
27,19296,19316,Amorim de mi vida,44,5,0,3,0,1
27,50914,52570,Bowen Arrows,40,12,7,7,0,0
27,88117,90970,ChabosSpurs@Law,37,1,0,1,2,1
27,36251,37280,Grand-Larseny,47,10,0,9,0,0
27,53433,55182,Into the WOODwork*,52,2,2,2,0,1
27,17389,17373,Santa’s reijnders,40,0,0,0,0,0
27,37354,38443,Sue-nited FC*,25,2,2,2,1,0
27,99210,102012,eze as u like b*%chs,46,9,3,4,1,1
28,16305,16290,**Cunha Believe it?!,48,9,0,8,0,0
28,50697,52346,*Saka It To Me Baby,23,4,2,2,1,0
28,19296,19316,Amorim de mi vida,35,5,0,3,0,0
28,50914,52570,Bowen Arrows,43,7,1,4,0,1
28,88117,90970,ChabosSpurs@Law,34,4,3,3,1,2
28,36251,37280,Grand-Larseny,55,3,2,2,0,2
28,53433,55182,Into the WOODwork*,38,8,2,6,1,0
28,17389,17373,Santa’s reijnders,35,1,0,1,0,1
28,37354,38443,Sue-nited FC*,44,9,2,7,0,1
28,99210,102012,eze as u like b*%chs,47,4,3,3,0,0
29,16305,16290,**Cunha Believe it?!,47,15,3,8,0,1
29,50697,52346,*Saka It To Me Baby,46,0,0,1,1,1
29,19296,19316,Amorim de mi vida,46,18,9,9,0,1
29,50914,52570,Bowen Arrows,57,5,0,2,0,1
29,88117,90970,ChabosSpurs@Law,24,10,3,5,0,0
29,36251,37280,Grand-Larseny,39,2,1,1,1,0
29,53433,55182,Into the WOODwork*,31,1,0,1,0,0
29,17389,17373,Santa’s reijnders,38,2,0,1,0,1
29,37354,38443,Sue-nited FC*,50,3,3,3,2,2
29,99210,102012,eze as u like b*%chs,57,2,1,1,0,2
30,16305,16290,**Cunha Believe it?!,42,15,3,9,0,1
30,50697,52346,*Saka It To Me Baby,24,0,0,0,1,0
30,19296,19316,Amorim de mi vida,52,3,3,3,1,1
30,50914,52570,Bowen Arrows,34,16,0,10,0,0
30,88117,90970,ChabosSpurs@Law,30,3,0,2,0,0
30,36251,37280,Grand-Larseny,64,6,6,6,0,3
30,53433,55182,Into the WOODwork*,28,7,6,6,0,0
30,17389,17373,Santa’s reijnders,29,2,0,1,0,0
30,37354,38443,Sue-nited FC*,51,7,7,7,0,1
30,99210,102012,eze as u like b*%chs,50,3,2,2,0,1
31,16305,16290,**Cunha Believe it?!,47,3,3,3,1,1
31,50697,52346,*Saka It To Me Baby,38,0,0,0,1,1
31,19296,19316,Amorim de mi vida,28,2,2,2,4,0
31,50914,52570,Bowen Arrows,23,1,0,1,1,0
31,88117,90970,ChabosSpurs@Law,33,0,0,0,0,0
31,36251,37280,Grand-Larseny,35,7,7,7,2,1
31,53433,55182,Into the WOODwork*,24,2,2,2,4,0
31,17389,17373,Santa’s reijnders,29,0,0,0,1,0
31,37354,38443,Sue-nited FC*,51,0,0,0,1,1
31,99210,102012,eze as u like b*%chs,39,0,0,0,4,1
32,16305,16290,**Cunha Believe it?!,43,9,4,4,0,1
32,50697,52346,*Saka It To Me Baby,42,11,11,11,0,2
32,19296,19316,Amorim de mi vida,29,11,7,7,1,0
32,50914,52570,Bowen Arrows,48,4,0,2,0,2
32,88117,90970,ChabosSpurs@Law,22,0,0,0,0,0
32,36251,37280,Grand-Larseny,37,5,2,2,1,0
32,53433,55182,Into the WOODwork*,53,9,2,6,0,1
32,17389,17373,Santa’s reijnders,41,1,0,1,1,1
32,37354,38443,Sue-nited FC*,50,13,7,7,0,1
32,99210,102012,eze as u like b*%chs,47,0,0,0,2,2
33,16305,16290,**Cunha Believe it?!,103,7,6,6,0,4
33,50697,52346,*Saka It To Me Baby,34,20,10,10,0,0
33,19296,19316,Amorim de mi vida,54,16,1,6,0,2
33,50914,52570,Bowen Arrows,48,1,0,1,0,2
33,88117,90970,ChabosSpurs@Law,44,19,10,10,0,0
33,36251,37280,Grand-Larseny,64,9,2,6,0,2
33,53433,55182,Into the WOODwork*,58,14,4,6,0,2
33,17389,17373,Santa’s reijnders,60,6,0,5,0,3
33,37354,38443,Sue-nited FC*,68,18,8,8,0,3
33,99210,102012,eze as u like b*%chs,24,1,1,1,1,0
