team,bad_beats,bad_beat_points,avg_bad_beat_score,worst_bad_beat_score,soft_wins,soft_win_points,avg_soft_win_score,softest_win_score,timing_balance
Grand-Larseny,7,339,48.43,64,3,120,40.0,39,-4
eze as u like b*%chs,7,316,45.14,51,3,94,31.33,24,-4
Santa’s reijnders,5,211,42.2,52,2,71,35.5,30,-3
Bowen Arrows,5,240,48.0,54,6,227,37.83,30,1
ChabosSpurs@Law,4,198,49.5,59,2,73,36.5,36,-2
Sue-nited FC*,3,139,46.33,53,2,74,37.0,31,-1
**Cunha Believe it?!,3,137,45.67,48,6,221,36.83,28,3
*Saka It To Me Baby,2,83,41.5,48,4,160,40.0,36,2
Amorim de mi vida,2,95,47.5,52,4,127,31.75,22,2
Into the WOODwork*,1,45,45.0,45,5,170,34.0,24,4
