season,manager,rank,player_code,player,position,club,points
2025-26,Alexander Chaban,1,244850,Morgan Rogers,MID,AVL,169
2025-26,Alexander Chaban,2,510663,Hugo Ekitiké,FWD,LIV,125
2025-26,Alexander Chaban,3,180736,Trevoh Chalobah,DEF,CHE,114
2025-26,Alexander Chaban,4,172649,Dean Henderson,GKP,CRY,106
2025-26,Alexander Chaban,5,491279,Micky van de Ven,DEF,TOT,106
2025-26,Alexander Chaban,6,209244,Phil Foden,MID,MCI,106
2025-26,Alexander Chaban,7,201666,Harvey Barnes,MID,NEW,104
2025-26,Alexander Chaban,8,114283,Jack Grealish,MID,EVE,79
2025-26,Alexander Chaban,9,441164,Pedro Porro Sauceda,DEF,TOT,79
2025-26,Alexander Chaban,10,551226,Mateus Gonçalo Espanha Fernandes,MID,WHU,59
2025-26,Alexander Chaban,11,441264,Brian Brobbey,FWD,SUN,48
2025-26,Alexander Chaban,12,441191,Tino Livramento,DEF,NEW,45
2025-26,Alexander Chaban,13,444180,Jaidon Anthony,MID,BUR,44
2025-26,Alexander Chaban,14,456512,Dan Ndoye,MID,NFO,41
2025-26,Alexander Chaban,15,154566,Dominic Solanke-Mitchell,FWD,TOT,40
2025-26,Alexander Chaban,16,607464,Michael Kayode,DEF,BRE,40
2025-26,Alexander Chaban,17,248875,Jérémy Doku,MID,MCI,30
2025-26,Alexander Chaban,18,487676,Trai Hume,DEF,SUN,26
2025-26,Alexander Chaban,19,482609,Malo Gusto,DEF,CHE,20
2025-26,Alexander Chaban,20,457569,Đorđe Petrović,GKP,BOU,19
2025-26,Alexander Chaban,21,488024,Yéremy Pino Santos,MID,CRY,18
2025-26,Alexander Chaban,22,184254,Guglielmo Vicario,GKP,TOT,11
2025-26,Alexander Chaban,23,512462,Jake O'Brien,DEF,EVE,10
2025-26,Alexander Chaban,24,80201,Bernd Leno,GKP,FUL,8
2025-26,Alexander Chaban,25,227444,Nikola Milenković,DEF,NFO,7
2025-26,Alexander Chaban,26,249231,Keane Lewis-Potter,DEF,BRE,6
2025-26,Alexander Chaban,27,215136,Neco Williams,DEF,NFO,6
2025-26,Alexander Chaban,28,159506,Ola Aina,DEF,NFO,6
2025-26,Alexander Chaban,29,247693,Randal Kolo Muani,FWD,TOT,6
2025-26,Alexander Chaban,30,199796,Matty Cash,DEF,AVL,5
2025-26,Alexander Chaban,31,83299,Lewis Dunk,DEF,BHA,1
2025-26,Alexander Chaban,32,225796,Reece James,DEF,CHE,1
2025-26,Drake Byrd,1,141746,Bruno Borges Fernandes,MID,MUN,235
2025-26,Drake Byrd,2,462424,William Saliba,DEF,ARS,137
2025-26,Drake Byrd,3,247348,Daniel Muñoz Mejía,DEF,CRY,136
2025-26,Drake Byrd,4,208706,Bruno Guimarães Rodriguez Moura,MID,NEW,132
2025-26,Drake Byrd,5,201658,Marcus Tavernier,MID,BOU,119
2025-26,Drake Byrd,6,427623,Chris Richards,DEF,CRY,117
2025-26,Drake Byrd,7,444102,Francisco Evanilson de Lima Barbosa,FWD,BOU,114
2025-26,Drake Byrd,8,469142,Jan Paul van Hecke,DEF,BHA,106
2025-26,Drake Byrd,9,61256,Carlos Henrique Casimiro,MID,MUN,75
2025-26,Drake Byrd,10,460842,Mohammed Kudus,MID,TOT,75
2025-26,Drake Byrd,11,85633,Matz Sels,GKP,NFO,74
2025-26,Drake Byrd,12,247412,Jørgen Strand Larsen,FWD,CRY,63
2025-26,Drake Byrd,13,486672,Moisés Caicedo Corozo,MID,CHE,61
2025-26,Drake Byrd,14,457569,Đorđe Petrović,GKP,BOU,48
2025-26,Drake Byrd,15,106760,Luke Shaw,DEF,MUN,45
2025-26,Drake Byrd,16,437505,Wilson Isidor,FWD,SUN,43
2025-26,Drake Byrd,17,441266,Ryan Gravenberch,MID,LIV,28
2025-26,Drake Byrd,18,242882,Bafodé Diakité,DEF,BOU,18
2025-26,Drake Byrd,19,212319,Richarlison de Andrade,FWD,TOT,12
2025-26,Drake Byrd,20,225796,Reece James,DEF,CHE,7
2025-26,Drake Byrd,21,596777,Patrick Dorgu,DEF,MUN,6
2025-26,Drake Byrd,22,75115,Callum Wilson,FWD,WHU,5
2025-26,Dylan Reid,1,437730,Antoine Semenyo,MID,MCI,200
2025-26,Dylan Reid,2,178186,Jarrod Bowen,FWD,WHU,187
2025-26,Dylan Reid,3,475168,João Pedro Junqueira de Jesus,FWD,CHE,177
2025-26,Dylan Reid,4,502500,Igor Thiago Nascimento Rodrigues,FWD,BRE,175
2025-26,Dylan Reid,5,98747,Nick Pope,GKP,NEW,91
2025-26,Dylan Reid,6,493250,Amad Diallo,MID,MUN,90
2025-26,Dylan Reid,7,201895,Omar Alderete,DEF,SUN,63
2025-26,Dylan Reid,8,487838,Lewis Hall,DEF,NEW,61
2025-26,Dylan Reid,9,153133,Alex Iwobi,MID,FUL,53
2025-26,Dylan Reid,10,214590,Aaron Wan-Bissaka,DEF,WHU,49
2025-26,Dylan Reid,11,448514,Rayan Aït-Nouri,DEF,MCI,49
2025-26,Dylan Reid,12,499604,Rayan Vitor Simplício Rocha,MID,BOU,46
2025-26,Dylan Reid,13,167074,Kenny Tete,DEF,FUL,42
2025-26,Dylan Reid,14,489639,Bart Verbruggen,GKP,BHA,40
2025-26,Dylan Reid,15,215413,Kiernan Dewsbury-Hall,MID,EVE,35
2025-26,Dylan Reid,16,493362,Xavi Simons,MID,TOT,34
2025-26,Dylan Reid,17,169528,Antonee Robinson,DEF,FUL,29
2025-26,Dylan Reid,18,221466,Marcos Senesi Barón,DEF,BOU,28
2025-26,Dylan Reid,19,159506,Ola Aina,DEF,NFO,18
2025-26,Dylan Reid,20,463067,Georginio Rutter,MID,BHA,17
2025-26,Dylan Reid,21,223827,Daniel Ballard,DEF,SUN,14
2025-26,Dylan Reid,22,449434,Anthony Elanga,MID,NEW,13
2025-26,Dylan Reid,23,427637,Brenden Aaronson,MID,LEE,8
2025-26,Dylan Reid,24,592031,Yankuba Minteh,MID,BHA,8
2025-26,Dylan Reid,25,216094,Jeremie Frimpong,DEF,LIV,7
2025-26,Dylan Reid,26,466052,Rayan Cherki,MID,MCI,7
2025-26,Dylan Reid,27,484420,Enzo Le Fée,MID,SUN,6
2025-26,Dylan Reid,28,114243,Jacob Murphy,MID,NEW,5
2025-26,Dylan Reid,29,171287,Joe Gomez,DEF,LIV,5
2025-26,Dylan Reid,30,225321,Aaron Ramsdale,GKP,NEW,4
2025-26,Dylan Reid,31,444463,Wesley Fofana,DEF,CHE,4
2025-26,Dylan Reid,32,184341,Mason Mount,MID,MUN,3
2025-26,Dylan Reid,33,180736,Trevoh Chalobah,DEF,CHE,3
2025-26,Dylan Reid,34,493105,Alejandro Garnacho Ferreyra,MID,CHE,2
2025-26,Dylan Reid,35,463936,Jamie Bynoe-Gittens,MID,CHE,2
2025-26,Dylan Reid,36,209289,Emile Smith Rowe,MID,FUL,1
2025-26,Dylan Reid,37,624773,Estêvão Almeida de Oliveira Gonçalves,MID,CHE,1
2025-26,Dylan Reid,38,199796,Matty Cash,DEF,AVL,0
2025-26,Ethan Ellsworth,1,243298,Cody Gakpo,MID,LIV,126
2025-26,Ethan Ellsworth,2,466052,Rayan Cherki,MID,MCI,116
2025-26,Ethan Ellsworth,3,232185,Ismaïla Sarr,MID,CRY,113
2025-26,Ethan Ellsworth,4,445122,Jurriën Timber,DEF,ARS,110
2025-26,Ethan Ellsworth,5,179268,Marc Cucurella Saseta,DEF,CHE,99
2025-26,Ethan Ellsworth,6,116535,Alisson Becker,GKP,LIV,89
2025-26,Ethan Ellsworth,7,433036,Tijjani Reijnders,MID,MCI,85
2025-26,Ethan Ellsworth,8,446008,Bryan Mbeumo,MID,MUN,84
2025-26,Ethan Ellsworth,9,560262,Junior Kroupi,FWD,BOU,75
2025-26,Ethan Ellsworth,10,544877,Milos Kerkez,DEF,LIV,74
2025-26,Ethan Ellsworth,11,586309,Thierno Barry,FWD,EVE,64
2025-26,Ethan Ellsworth,12,216051,Diogo Dalot Teixeira,DEF,MUN,57
2025-26,Ethan Ellsworth,13,177815,Dominic Calvert-Lewin,FWD,LEE,45
2025-26,Ethan Ellsworth,14,578153,Abdukodir Khusanov,DEF,MCI,43
2025-26,Ethan Ellsworth,15,449027,Giorgi Mamardashvili,GKP,LIV,32
2025-26,Ethan Ellsworth,16,538207,William Osula,FWD,NEW,28
2025-26,Ethan Ellsworth,17,95658,Harry Maguire,DEF,MUN,26
2025-26,Ethan Ellsworth,18,512462,Jake O'Brien,DEF,EVE,25
2025-26,Ethan Ellsworth,19,575476,Murillo Costa dos Santos,DEF,NFO,20
2025-26,Ethan Ellsworth,20,215136,Neco Williams,DEF,NFO,20
2025-26,Ethan Ellsworth,21,153133,Alex Iwobi,MID,FUL,18
2025-26,Ethan Ellsworth,22,149484,Tyrone Mings,DEF,AVL,18
2025-26,Ethan Ellsworth,23,485055,Antonín Kinský,GKP,TOT,16
2025-26,Ethan Ellsworth,24,435973,Lyle Foster,FWD,BUR,16
2025-26,Ethan Ellsworth,25,438234,Omar Marmoush,MID,MCI,12
2025-26,Ethan Ellsworth,26,220237,Sven Botman,DEF,NEW,12
2025-26,Ethan Ellsworth,27,427637,Brenden Aaronson,MID,LEE,11
