event,team,points,starter_double_digits,starter_zeroes
33,**Cunha Believe it?!,103,4,0
17,**Cunha Believe it?!,90,4,0
8,eze as u like b*%chs,79,3,0
19,Amorim de mi vida,75,3,0
8,**Cunha Believe it?!,72,3,0
26,*Saka It To Me Baby,71,3,0
36,Sue-nited FC*,70,3,0
9,eze as u like b*%chs,69,3,0
33,Sue-nited FC*,68,3,0
25,*Saka It To Me Baby,66,2,0
27,*Saka It To Me Baby,66,1,0
14,Grand-Larseny,64,2,0
30,Grand-Larseny,64,3,0
33,Grand-Larseny,64,2,0
4,*Saka It To Me Baby,62,1,0
10,eze as u like b*%chs,61,2,1
25,Grand-Larseny,61,2,0
26,**Cunha Believe it?!,61,3,0
37,**Cunha Believe it?!,61,1,0
15,Into the WOODwork*,60,2,0
15,Sue-nited FC*,60,1,0
33,Santa’s reijnders,60,3,0
1,ChabosSpurs@Law,59,1,0
4,ChabosSpurs@Law,59,2,0
11,Into the WOODwork*,59,1,0
12,Grand-Larseny,59,2,0
12,eze as u like b*%chs,59,1,1
18,Santa’s reijnders,59,2,0
24,eze as u like b*%chs,59,0,0
35,Amorim de mi vida,59,1,0
15,ChabosSpurs@Law,58,3,0
33,Into the WOODwork*,58,2,0
2,Santa’s reijnders,57,2,0
15,Grand-Larseny,57,2,0
16,ChabosSpurs@Law,57,3,1
16,Sue-nited FC*,57,2,0
17,Bowen Arrows,57,3,0
29,Bowen Arrows,57,1,0
29,eze as u like b*%chs,57,2,0
36,Amorim de mi vida,57,1,0
3,Grand-Larseny,56,1,0
4,Sue-nited FC*,56,1,0
6,Bowen Arrows,56,2,0
2,ChabosSpurs@Law,55,1,0
4,**Cunha Believe it?!,55,1,0
5,**Cunha Believe it?!,55,2,0
6,Into the WOODwork*,55,2,0
9,ChabosSpurs@Law,55,2,0
10,Into the WOODwork*,55,2,0
14,*Saka It To Me Baby,55,2,1
14,ChabosSpurs@Law,55,2,0
28,Grand-Larseny,55,2,0
8,Into the WOODwork*,54,2,0
12,Sue-nited FC*,54,2,1
19,eze as u like b*%chs,54,2,1
24,Bowen Arrows,54,1,0
33,Amorim de mi vida,54,2,0
36,Bowen Arrows,54,1,0
36,eze as u like b*%chs,54,2,0
7,Santa’s reijnders,53,1,0
11,Sue-nited FC*,53,2,0
12,Into the WOODwork*,53,1,0
21,Amorim de mi vida,53,2,0
24,**Cunha Believe it?!,53,1,0
32,Into the WOODwork*,53,1,0
10,Amorim de mi vida,52,1,0
11,Bowen Arrows,52,2,1
12,ChabosSpurs@Law,52,2,2
16,Santa’s reijnders,52,0,0
18,Into the WOODwork*,52,1,0
27,Into the WOODwork*,52,1,0
30,Amorim de mi vida,52,1,1
35,Bowen Arrows,52,1,0
1,Bowen Arrows,51,1,0
2,Amorim de mi vida,51,3,0
6,eze as u like b*%chs,51,2,0
10,Grand-Larseny,51,1,0
21,Santa’s reijnders,51,1,0
24,Grand-Larseny,51,3,0
30,Sue-nited FC*,51,1,0
31,Sue-nited FC*,51,1,1
34,Grand-Larseny,51,1,0
37,Sue-nited FC*,51,2,0
9,Grand-Larseny,50,2,0
15,Bowen Arrows,50,1,0
22,Sue-nited FC*,50,2,0
26,Bowen Arrows,50,2,0
29,Sue-nited FC*,50,2,2
30,eze as u like b*%chs,50,1,0
32,Sue-nited FC*,50,1,0
35,eze as u like b*%chs,50,2,0
3,Santa’s reijnders,49,1,0
10,Sue-nited FC*,49,0,0
16,Into the WOODwork*,49,1,0
21,Grand-Larseny,49,1,1
25,Amorim de mi vida,49,2,0
36,**Cunha Believe it?!,49,1,0
37,eze as u like b*%chs,49,1,0
3,ChabosSpurs@Law,48,2,0
16,*Saka It To Me Baby,48,1,0
17,Into the WOODwork*,48,0,0
17,Santa’s reijnders,48,1,0
19,*Saka It To Me Baby,48,0,1
20,ChabosSpurs@Law,48,1,0
22,Grand-Larseny,48,1,0
23,Sue-nited FC*,48,1,2
27,**Cunha Believe it?!,48,2,0
28,**Cunha Believe it?!,48,0,0
32,Bowen Arrows,48,2,0
33,Bowen Arrows,48,2,0
4,eze as u like b*%chs,47,1,0
5,Bowen Arrows,47,1,2
5,Grand-Larseny,47,1,0
6,**Cunha Believe it?!,47,1,0
10,**Cunha Believe it?!,47,1,0
17,eze as u like b*%chs,47,1,2
19,Sue-nited FC*,47,0,0
20,Bowen Arrows,47,1,1
23,Bowen Arrows,47,2,0
23,Into the WOODwork*,47,1,0
24,Santa’s reijnders,47,0,0
27,Grand-Larseny,47,0,0
28,eze as u like b*%chs,47,0,0
29,**Cunha Believe it?!,47,1,0
31,**Cunha Believe it?!,47,1,1
32,eze as u like b*%chs,47,2,2
35,ChabosSpurs@Law,47,1,1
1,Grand-Larseny,46,1,0
5,Sue-nited FC*,46,0,0
6,Amorim de mi vida,46,0,1
9,*Saka It To Me Baby,46,1,0
