event,state,offered_entry,received_entry,incoming_to_offered,outgoing_from_offered,incoming_season_points,outgoing_season_points,season_point_delta_for_offered
1,p,Sue-nited FC*,Amorim de mi vida,Rúben,Akanji,112,0,112
1,p,Bowen Arrows,Into the WOODwork*,Verbruggen,Sánchez,128,111,17
1,p,*Saka It To Me Baby,Amorim de mi vida,"M.Salah, Flemming, Isak","Wirtz, Gyökeres, Danns",248,251,-3
1,p,*Saka It To Me Baby,Sue-nited FC*,"Watkins, Wissa","Flemming, Isak",181,131,50
11,p,*Saka It To Me Baby,Into the WOODwork*,Cullen,Xavi,70,80,-10
24,p,**Cunha Believe it?!,Santa’s reijnders,J.Timber,Khusanov,149,67,82
24,p,*Saka It To Me Baby,Santa’s reijnders,Mbeumo,Damsgaard,139,112,27
26,p,*Saka It To Me Baby,Sue-nited FC*,Pablo,Wissa,25,27,-2
31,p,*Saka It To Me Baby,Sue-nited FC*,"Wissa, Taty","Watkins, Havertz",80,186,-106
31,p,*Saka It To Me Baby,Into the WOODwork*,"O'Brien, Doku, E.Le Fée, Mané","Konaté, M.Salah, Summerville, Armstrong",448,381,67
31,p,*Saka It To Me Baby,Into the WOODwork*,Zubimendi,Mbeumo,131,139,-8
31,p,Sue-nited FC*,*Saka It To Me Baby,O'Reilly,A.Jimenez,160,74,86
31,p,Sue-nited FC*,Amorim de mi vida,Garner,J.Gomes,155,107,48
32,p,**Cunha Believe it?!,Amorim de mi vida,Calvert-Lewin,Muniz,140,34,106
