trade_id,season,timing,phase,source_timing,source_row,participant_count,participants,manager_1,assets_1,manager_2,assets_2,manager_3,assets_3,notes,asset_count,has_picks,headline,summary,source
2025-26-35,2025-26,Draft Day,Draft Day,Draft Day,37,2,"Donny, Dylan",Donny,"2026 10th-round pick (via Donny), 2026 12th-round pick (via Donny)",Dylan,9th-round pick (1st),,,,3,Yes,Donny <-> Dylan,"Donny sent 2026 10th-round pick (via Donny), 2026 12th-round pick (via Donny); Dylan sent 9th-round pick (1st)",BPL Fantasy.xlsx / Trade History
2025-26-36,2025-26,Preseason,Preseason,Preseason,38,2,"Donny, Ethan",Donny,Mamardashvili (LIV),Ethan,"10th-round pick (via Ethan), Vicario (TOT)",,,,3,Yes,Donny <-> Ethan,"Donny sent Mamardashvili (LIV); Ethan sent 10th-round pick (via Ethan), Vicario (TOT)",BPL Fantasy.xlsx / Trade History
2025-26-37,2025-26,Preseason,Preseason,Preseason,39,2,"Levi, Julius",Levi,"Sesko (MU), Gyokeres (ARS), Wirtz (LIV)",Julius,"Salah (LIV), Isak (NEW)",,,,5,No,Levi <-> Julius,"Levi sent Sesko (MU), Gyokeres (ARS), Wirtz (LIV); Julius sent Salah (LIV), Isak (NEW)",BPL Fantasy.xlsx / Trade History
2025-26-38,2025-26,Preseason,Preseason,Preseason,40,2,"Levi, Justin",Levi,"Isak (NEW), Flemming (BUR)",Justin,"Watkins (AVL), Wissa (BRE)",,,,4,No,Levi <-> Justin,"Levi sent Isak (NEW), Flemming (BUR); Justin sent Watkins (AVL), Wissa (BRE)",BPL Fantasy.xlsx / Trade History
2025-26-39,2025-26,GW 10,In-season,Week 10,41,2,"Levi, Luke",Levi,Simons (TOT),Luke,"Cullen (BUR), 12th-round pick",,,,3,Yes,Levi <-> Luke,"Levi sent Simons (TOT); Luke sent Cullen (BUR), 12th-round pick",BPL Fantasy.xlsx / Trade History
2025-26-40,2025-26,GW 22,In-season,Week 22,42,2,"Donny, Ethan",Donny,"Kushannov (MCI), 6th-round pick",Ethan,Timber (ARS),,,,3,Yes,Donny <-> Ethan,"Donny sent Kushannov (MCI), 6th-round pick; Ethan sent Timber (ARS)",BPL Fantasy.xlsx / Trade History
2025-26-41,2025-26,GW 24,In-season,Week 24,43,2,"Levi, Ethan",Levi,"Damsgaard (BRE), 4th-round pick",Ethan,Mbuemo (MU),,,,3,Yes,Levi <-> Ethan,"Levi sent Damsgaard (BRE), 4th-round pick; Ethan sent Mbuemo (MU)",BPL Fantasy.xlsx / Trade History
2025-26-42,2025-26,GW 26,In-season,Week 26,44,2,"Levi, Justin",Levi,Wissa (NEW),Justin,"Pablo (WHU), 2026 7th-round pick, 2027 6th-round pick",,,,4,Yes,Levi <-> Justin,"Levi sent Wissa (NEW); Justin sent Pablo (WHU), 2026 7th-round pick, 2027 6th-round pick",BPL Fantasy.xlsx / Trade History
2025-26-43,2025-26,GW 31,In-season,Week 31,45,2,"Levi, Justin",Levi,"Havertz (ARS), Watkins (AVL)",Justin,"2027 5th-round pick, matching players to be dropped",,,,4,Yes,Levi <-> Justin,"Levi sent Havertz (ARS), Watkins (AVL); Justin sent 2027 5th-round pick, matching players to be dropped",BPL Fantasy.xlsx / Trade History
2025-26-44,2025-26,GW 31,In-season,Week 31,46,2,"Levi, Luke",Levi,"Konate (LIV), Salah (LIV), Summerville (WHU), Armstrong (WOL)",Luke,"2026 7th-round pick, matching players to be dropped",,,,6,Yes,Levi <-> Luke,"Levi sent Konate (LIV), Salah (LIV), Summerville (WHU), Armstrong (WOL); Luke sent 2026 7th-round pick, matching players to be dropped",BPL Fantasy.xlsx / Trade History
