event,winner,loser,margin,winner_pickup_points,loser_pickup_points,winner_dropped_counterfactual_points,loser_dropped_counterfactual_points,winner_replacement_delta,loser_replacement_delta,replacement_edge,winner_replacement_players,loser_replacement_players
2,Amorim de mi vida,eze as u like b*%chs,6,11,0,1,0,10,0,10,Enzo 10 vs Wilson 1 (+9); Šeško 1 vs Danns 0 (+1),
3,Into the WOODwork*,**Cunha Believe it?!,1,7,17,5,26,2,-9,11,Lewis 1 vs Matheus N. 2 (-1); Estêvão 3 vs Smith Rowe 1 (+2); P.M.Sarr 2 vs Bernardo 2 (+0); Zubimendi 1 vs Kulusevski 0 (+1),Cash 0 vs Diouf 10 (-10); Yoro 1 vs Kilman 6 (-5); Senesi 14 vs Botman 8 (+6); O.Dango 2 vs Malen 2 (+0)
4,**Cunha Believe it?!,Amorim de mi vida,11,21,13,10,16,11,-3,14,Cash 5 vs Diouf 1 (+4); Senesi 3 vs Botman 1 (+2); Yeremy 3 vs Schade 7 (-4); O.Dango 1 vs Malen 1 (+0); Woltemade 9 vs Piroe 0 (+9),Spence 5 vs Calafiori 5 (+0); L.Paquetá 2 vs Doku 10 (-8); Enzo 4 vs Wilson 1 (+3); Šeško 2 vs Danns 0 (+2)
4,Sue-nited FC*,eze as u like b*%chs,9,18,0,6,0,12,0,12,Andersen 10 vs Van den Berg 1 (+9); Mitchell 6 vs Robertson 1 (+5); King 1 vs Anderson 4 (-3); Richarlison 1 vs Abdullahi 0 (+1),
4,*Saka It To Me Baby,ChabosSpurs@Law,3,42,4,11,5,31,-1,32,Roefs 10 vs Ramsdale 0 (+10); Calafiori 5 vs Mykolenko 0 (+5); Bassey 9 vs Digne 5 (+4); Trippier 8 vs Kayode 2 (+6); Diouf 1 vs De Ligt 1 (+0); Xavi 6 vs Adingra 3 (+3); Madueke 3 vs O'Riley 0 (+3),Ndoye 2 vs Enzo 4 (-2); Grealish 2 vs Mac Allister 1 (+1)
4,Into the WOODwork*,Bowen Arrows,1,17,0,9,0,8,0,8,Matheus N. 0 vs Lewis 0 (+0); Zubimendi 16 vs Kulusevski 0 (+16); Garnacho 1 vs P.M.Sarr 8 (-7); Estêvão 0 vs Smith Rowe 1 (-1),
6,Bowen Arrows,eze as u like b*%chs,5,18,0,0,0,18,0,18,Alderete 17 vs Wan-Bissaka 0 (+17); Dewsbury-Hall 1 vs Cherki 0 (+1),
7,*Saka It To Me Baby,Sue-nited FC*,1,28,12,6,3,22,9,13,Johnstone 3 vs Jörgensen 0 (+3); De Ligt 8 vs Rodon 1 (+7); Konsa 2 vs Stones 0 (+2); Calafiori 6 vs Mykolenko 4 (+2); Trippier 6 vs R.Gomes 0 (+6); Anthony 1 vs Madueke 0 (+1); Xavi 2 vs Adingra 1 (+1),Donnarumma 6 vs Perri 0 (+6); Mitchell 1 vs Robertson 1 (+0); Minteh 2 vs Garner 1 (+1); Calvert-Lewin 2 vs Mayenda 1 (+1); Richarlison 1 vs Abdullahi 0 (+1)
8,Into the WOODwork*,Santa’s reijnders,17,30,1,8,2,22,-1,23,Mykolenko 1 vs Keane 1 (+0); James 18 vs Mosquera 0 (+18); Matheus N. 7 vs Khusanov 0 (+7); Garnacho 1 vs Estêvão 3 (-2); Stach 2 vs Garnacho 1 (+1); Doku 1 vs Estêvão 3 (-2),Botman 1 vs O'Brien 1 (+0); Foster 0 vs Kostoulas 1 (-1)
9,*Saka It To Me Baby,**Cunha Believe it?!,6,35,17,12,32,23,-15,38,Roefs 4 vs Ramsdale 0 (+4); Diouf 1 vs De Ligt 1 (+0); Rodon 13 vs Konsa 8 (+5); Calafiori 6 vs Mykolenko 1 (+5); Krejčí 4 vs De Ligt 1 (+3); Trippier 2 vs R.Gomes 1 (+1); Anthony 2 vs Madueke 0 (+2); Xavi 3 vs Adingra 0 (+3),Thiaw 2 vs Cash 15 (-13); Tosin 1 vs Bradley 4 (-3); Senesi 5 vs Botman 2 (+3); Schade 7 vs O.Dango 11 (-4); Woltemade 2 vs Piroe 0 (+2)
