team,waiver_inspired_wins,wins,share_of_wins,pickup_starter_points,pickup_starts,pickup_points_per_start,waiver_starter_points,free_agent_starter_points,dropped_counterfactual_points,replacement_delta,replacement_delta_per_start,avg_inspired_win_edge,avg_inspired_win_margin
Sue-nited FC*,11,24,0.458,1035,263,3.94,911,124,489,546,2.08,19.18,11.91
*Saka It To Me Baby,9,16,0.562,910,268,3.4,787,123,530,380,1.42,27.67,9.56
Into the WOODwork*,8,21,0.381,804,225,3.57,710,94,490,314,1.4,17.5,9.75
**Cunha Believe it?!,6,27,0.222,753,203,3.71,621,132,466,287,1.41,17.17,10.5
Amorim de mi vida,5,13,0.385,945,279,3.39,432,513,604,341,1.22,16.0,9.0
Grand-Larseny,4,20,0.2,499,140,3.56,335,164,220,279,1.99,14.0,7.25
Santa’s reijnders,3,13,0.231,683,197,3.47,617,66,328,355,1.8,22.0,14.33
eze as u like b*%chs,3,20,0.15,430,111,3.87,384,46,268,162,1.46,9.67,8.33
Bowen Arrows,2,19,0.105,514,156,3.29,472,42,292,222,1.42,26.5,12.5
ChabosSpurs@Law,1,14,0.071,466,155,3.01,362,104,323,143,0.92,6.0,5.0
